Couple,Position,Position_pots,Monoculture_Couple,Condition_hydrique,Bloc,Colonne,Ligne,plante_genotype,poids_graine,Longueur_feuille_2,Largeur_feuille_2,Nombre_de_feuille_ligulée,thallée,Surface_feuille_2,Biomasse_sèche,vitesse_coleoptile_feuille_1,vitesse_coleoptile_feuille_2,vitesse_longueur_f1,vitesse_largeur_f1
EL4X_395.EL4X_235 wt b1,B1 - 3 - 1,droite,Couple,Contrainte hydrique,1,3,1,235,NA,200,5,3,0,,,"29,25","61,5","59,5","2,5"
EL4X_482.EL4X_482 wt b1,B1 - 3 - 2,gauche,Monoculture,Contrainte hydrique,1,3,2,482,63,198,5,3,0,,,NA,9,1,"0,5"
EL4X_482.EL4X_482 wt b1,B1 - 3 - 2,droite,Monoculture,Contrainte hydrique,1,3,2,482,53,184,5,3,0,,,NA,"37,5",-1,0
EL4X_235.EL4X_235 wt b1,B1 - 3 - 3,gauche,Monoculture,Contrainte hydrique,1,3,3,235,43,214,5,2,0,,,"32,5",61,"67,5","2,5"
EL4X_235.EL4X_235 wt b1,B1 - 3 - 3,droite,Monoculture,Contrainte hydrique,1,3,3,235,46,187,5,2,0,,,"42,5",55,"61,5","2,5"
EL4X_165.EL4X_165 wt b1,B1 - 3 - 4,gauche,Monoculture,Contrainte hydrique,1,3,4,165,48,214,5,3,0,,,"33,5","31,5","-0,5",0
EL4X_165.EL4X_165 wt b1,B1 - 3 - 4,droite,Monoculture,Contrainte hydrique,1,3,4,165,46,202,4,3,0,,,"30,5","42,5","-1,5","0,5"
EL4X_329.EL4X_114 wt b1,B1 - 3 - 5,gauche,Couple,Contrainte hydrique,1,3,5,329,47,211,4,2,0,,,"23,25",57,55,2
EL4X_329.EL4X_114 wt b1,B1 - 3 - 5,droite,Couple,Contrainte hydrique,1,3,5,114,40,196,4,3,0,,,"27,5",25,"14,5","0,5"
EL4X_395.EL4X_376 wt b1,B1 - 3 - 6,gauche,Couple,Contrainte hydrique,1,3,6,395,50,236,3,2,0,,,24,70,40,2
EL4X_395.EL4X_376 wt b1,B1 - 3 - 6,droite,Couple,Contrainte hydrique,1,3,6,376,48,192,5,3,0,,,"23,5",34,0,"0,5"
EL4X_165.EL4X_74 wt b1,B1 - 3 - 7,gauche,Couple,Contrainte hydrique,1,3,7,165,49,150,2,2,0,,,"22,5",NA,"2,5",0
EL4X_165.EL4X_74 wt b1,B1 - 3 - 7,droite,Couple,Contrainte hydrique,1,3,7,74,40,221,3,3,0,,,26,NA,"1,5",0
EL4X_482.EL4X_118 wt b1,B1 - 3 - 8,gauche,Couple,Contrainte hydrique,1,3,8,482,48,250,4,3,0,,,27,29,"0,5",0
EL4X_482.EL4X_118 wt b1,B1 - 3 - 8,droite,Couple,Contrainte hydrique,1,3,8,118,46,192,4,3,0,,,"20,5","31,5",-2,0
EL4X_376.EL4X_235 wt b1,B1 - 3 - 9,gauche,Couple,Contrainte hydrique,1,3,9,376,34,215,5,3,0,,,44,"61,5",92,"2,5"
EL4X_376.EL4X_235 wt b1,B1 - 3 - 9,droite,Couple,Contrainte hydrique,1,3,9,235,48,207,5,2,1,,,"28,25",82,"62,5",2
EL4X_89.EL4X_89 wt b1,B1 - 4 - 1,gauche,Monoculture,Contrainte hydrique,1,4,1,89,44,177,3,2,0,,,"22,75",4,"-21,5",0
EL4X_89.EL4X_89 wt b1,B1 - 4 - 1,droite,Monoculture,Contrainte hydrique,1,4,1,89,47,255,5,2,0,,,"26,5","88,5","66,5",2
EL4X_74.EL4X_74 wt b1,B1 - 4 - 2,gauche,Monoculture,Contrainte hydrique,1,4,2,74,46,201,4,3,0,,,28,37,0,0
EL4X_74.EL4X_74 wt b1,B1 - 4 - 2,droite,Monoculture,Contrainte hydrique,1,4,2,74,50,235,4,3,0,,,27,"36,5","-0,5",0
EL4X_114.EL4X_235 wt b1,B1 - 4 - 3,gauche,Couple,Contrainte hydrique,1,4,3,114,41,218,5,3,0,,,"35,5",80,75,"2,5"
EL4X_114.EL4X_235 wt b1,B1 - 4 - 3,droite,Couple,Contrainte hydrique,1,4,3,235,45,NA,NA,NA,0,,,NA,NA,NA,NA
EL4X_89.EL4X_482 wt b1,B1 - 4 - 4,gauche,Couple,Contrainte hydrique,1,4,4,89,45,217,5,3,0,,,"39,75","62,5",83,"2,5"
EL4X_89.EL4X_482 wt b1,B1 - 4 - 4,droite,Couple,Contrainte hydrique,1,4,4,482,53,228,4,3,0,,,"20,5",48,1,0
