Couple,Position,Position_pots,Monoculture_Couple,Condition_hydrique,Bloc,Colonne,Ligne,plante_genotype,poids_graine,Longueur_feuille_2,Largeur_feuille_2,Nombre_de_feuille_ligulée,thallée,Surface_feuille_2,Biomasse_sèche,vitesse_coleoptile_feuille_1,vitesse_coleoptile_feuille_2,vitesse_longueur_f1,vitesse_largeur_f1
EL4X_376.EL4X_376 WT b2,B2 - 4 - 9,droite,Monoculture,Bien irrigue,2,4,9,376,48,209,4,2,0,,,33,"26,5",-12,"-0,5"
EL4X_412.EL4X_74 WT b2,B2 - 5 - 1,gauche,Couple,Bien irrigue,2,5,1,412,56,188,4,3,0,,,"22,5",36,8,"0,5"
EL4X_412.EL4X_74 WT b2,B2 - 5 - 1,droite,Couple,Bien irrigue,2,5,1,74,44,189,3,4,0,,,27,"30,5","0,5",0
EL4X_165.EL4X_74 WT b2,B2 - 5 - 2,gauche,Couple,Bien irrigue,2,5,2,165,49,245,4,3,0,,,"27,25","81,5",NA,NA
EL4X_165.EL4X_74 WT b2,B2 - 5 - 2,droite,Couple,Bien irrigue,2,5,2,74,41,214,3,3,0,,,33,31,"-1,5",0
EL4X_412.EL4X_131 WT b2,B2 - 5 - 3,gauche,Couple,Bien irrigue,2,5,3,412,56,142,2,2,0,,,"31,5","39,5",32,"1,5"
EL4X_412.EL4X_131 WT b2,B2 - 5 - 3,droite,Couple,Bien irrigue,2,5,3,131,45,218,5,3,0,,,39,"67,5","82,5","2,5"
EL4X_395.EL4X_235 WT b2,B2 - 5 - 4,gauche,Couple,Bien irrigue,2,5,4,395,45,30,4,2,0,,,4,NA,NA,NA
EL4X_395.EL4X_235 WT b2,B2 - 5 - 4,droite,Couple,Bien irrigue,2,5,4,235,43,216,3,2,0,,,"25,75",65,"53,5","1,5"
EL4X_89.EL4X_348 WT b2,B2 - 5 - 5,gauche,Couple,Bien irrigue,2,5,5,89,43,201,3,3,0,,,23,"12,5",-24,"-0,5"
EL4X_89.EL4X_348 WT b2,B2 - 5 - 5,droite,Couple,Bien irrigue,2,5,5,348,51,213,4,3,0,,,28,"93,5",70,"2,5"
EL4X_265.EL4X_118 WT b2,B2 - 5 - 6,gauche,Couple,Bien irrigue,2,5,6,265,48,203,4,3,0,,,"45,5","65,5","62,5",2
EL4X_265.EL4X_118 WT b2,B2 - 5 - 6,droite,Couple,Bien irrigue,2,5,6,118,NA,193,4,2,0,,,"32,75","62,5","69,5","2,5"
EL4X_131.EL4X_131 WT b2,B2 - 5 - 7,gauche,Monoculture,Bien irrigue,2,5,7,131,32,210,5,3,0,,,"43,25",NA,"4,5","0,5"
EL4X_131.EL4X_131 WT b2,B2 - 5 - 7,droite,Monoculture,Bien irrigue,2,5,7,131,60,215,5,3,0,,,"40,5",40,87,2
EL4X_89.EL4X_482 WT b2,B2 - 5 - 8,gauche,Couple,Bien irrigue,2,5,8,89,46,269,6,2,0,,,"27,5","31,5","3,5","-0,5"
EL4X_89.EL4X_482 WT b2,B2 - 5 - 8,droite,Couple,Bien irrigue,2,5,8,482,52,260,6,3,1,,,"27,5",36,"-2,5","0,5"
EL4X_89.EL4X_89 WT b2,B2 - 5 - 9,gauche,Monoculture,Bien irrigue,2,5,9,89,41,254,6,2,1,,,"28,5","33,5","-1,5","0,5"
EL4X_89.EL4X_89 WT b2,B2 - 5 - 9,droite,Monoculture,Bien irrigue,2,5,9,89,42,284,4,3,1,,,23,NA,-3,0
EL4X_131.EL4X_131 wt b3,B3 - 1 - 1,gauche,Monoculture,Contrainte hydrique,3,1,1,131,54,186,5,3,0,,,"38,75",64,"80,5","2,5"
EL4X_131.EL4X_131 wt b3,B3 - 1 - 1,droite,Monoculture,Contrainte hydrique,3,1,1,131,47,211,5,2,0,,,"49,5",59,74,2
EL4X_412.EL4X_412 wt b3,B3 - 1 - 2,gauche,Monoculture,Contrainte hydrique,3,1,2,412,49,210,4,3,0,,,33,67,"60,5","2,5"
EL4X_412.EL4X_412 wt b3,B3 - 1 - 2,droite,Monoculture,Contrainte hydrique,3,1,2,412,63,167,2,1,0,,,"34,75",76,"54,5",2
EL4X_329.EL4X_376 wt b3,B3 - 1 - 3,gauche,Couple,Contrainte hydrique,3,1,3,329,50,170,4,3,0,,,22,"34,5",-8,0
EL4X_329.EL4X_376 wt b3,B3 - 1 - 3,droite,Couple,Contrainte hydrique,3,1,3,376,55,214,5,3,0,,,"29,5","35,5",26,"-0,5"
EL4X_89.EL4X_118 wt b3,B3 - 1 - 4,gauche,Couple,Contrainte hydrique,3,1,4,89,48,184,5,2,1,,,"43,5",4,57,"2,5"
EL4X_89.EL4X_118 wt b3,B3 - 1 - 4,droite,Couple,Contrainte hydrique,3,1,4,118,32,201,4,2,0,,,"31,5",63,"70,5",2
EL4X_329.EL4X_114 wt b3,B3 - 1 - 5,gauche,Couple,Contrainte hydrique,3,1,5,329,57,209,5,3,0,,,"20,5","40,5","0,5","0,5"
EL4X_329.EL4X_114 wt b3,B3 - 1 - 5,droite,Couple,Contrainte hydrique,3,1,5,114,41,162,4,3,0,,,38,"70,5","70,5",2
EL4X_74.EL4X_74 wt b3,B3 - 1 - 6,gauche,Monoculture,Contrainte hydrique,3,1,6,74,38,222,4,3,0,,,28,"32,5","-11,5","0,5"
EL4X_74.EL4X_74 wt b3,B3 - 1 - 6,droite,Monoculture,Contrainte hydrique,3,1,6,74,45,217,4,3,0,,,"29,5",27,"44,5",2
EL4X_329.EL4X_395 wt b3,B3 - 1 - 7,gauche,Couple,Contrainte hydrique,3,1,7,329,58,186,5,3,0,,,"24,5","44,5","-0,5",0
EL4X_329.EL4X_395 wt b3,B3 - 1 - 7,droite,Couple,Contrainte hydrique,3,1,7,395,56,175,4,3,0,,,"11,83333333",NA,NA,NA
EL4X_265.EL4X_265 wt b3,B3 - 1 - 8,gauche,Monoculture,Contrainte hydrique,3,1,8,265,48,223,3,3,0,,,28,33,0,"-0,5"
EL4X_265.EL4X_265 wt b3,B3 - 1 - 8,droite,Monoculture,Contrainte hydrique,3,1,8,265,43,211,4,3,0,,,"23,5","31,5",-1,0
EL4X_165.EL4X_130 wt b3,B3 - 1 - 9,gauche,Couple,Contrainte hydrique,3,1,9,165,49,208,5,3,0,,,25,30,"5,5",0
EL4X_165.EL4X_130 wt b3,B3 - 1 - 9,droite,Couple,Contrainte hydrique,3,1,9,130,54,203,3,3,0,,,"32,5",34,-2,0
EL4X_131.EL4X_74 wt b3,B3 - 2 - 1,gauche,Couple,Contrainte hydrique,3,2,1,131,63,216,4,3,0,,,"37,5",57,79,2
EL4X_131.EL4X_74 wt b3,B3 - 2 - 1,droite,Couple,Contrainte hydrique,3,2,1,74,41,208,3,3,0,,,20,"27,5",0,1
EL4X_395.EL4X_395 wt b3,B3 - 2 - 2,gauche,Monoculture,Contrainte hydrique,3,2,2,395,47,280,5,3,0,,,"42,75",67,82,"2,5"
EL4X_395.EL4X_395 wt b3,B3 - 2 - 2,droite,Monoculture,Contrainte hydrique,3,2,2,395,52,212,3,2,0,,,"23,75","49,5","46,5",1
EL4X_89.EL4X_89 wt b3,B3 - 2 - 3,gauche,Monoculture,Contrainte hydrique,3,2,3,89,46,231,5,3,1,,,"26,5","35,5",33,1
EL4X_89.EL4X_89 wt b3,B3 - 2 - 3,droite,Monoculture,Contrainte hydrique,3,2,3,89,43,147,3,2,0,,,26,41,2,"0,5"
EL4X_482.EL4X_118 wt b3,B3 - 2 - 4,gauche,Couple,Contrainte hydrique,3,2,4,482,53,213,3,3,0,,,22,37,-1,0
EL4X_482.EL4X_118 wt b3,B3 - 2 - 4,droite,Couple,Contrainte hydrique,3,2,4,118,29,196,3,3,0,,,"25,5",29,-2,"0,5"
EL4X_482.EL4X_348 wt b3,B3 - 2 - 5,gauche,Couple,Contrainte hydrique,3,2,5,482,43,NA,NA,NA,0,,,"2,5",NA,NA,NA
EL4X_482.EL4X_348 wt b3,B3 - 2 - 5,droite,Couple,Contrainte hydrique,3,2,5,348,48,219,4,3,0,,,"25,5",34,2,"0,5"
EL4X_130.EL4X_412 wt b3,B3 - 2 - 6,gauche,Couple,Contrainte hydrique,3,2,6,130,48,198,4,3,0,,,"31,5",25,2,"0,5"
EL4X_130.EL4X_412 wt b3,B3 - 2 - 6,droite,Couple,Contrainte hydrique,3,2,6,412,50,155,4,3,0,,,NA,"40,5",-2,"0,5"
EL4X_89.EL4X_348 wt b3,B3 - 2 - 7,gauche,Couple,Contrainte hydrique,3,2,7,89,46,217,5,3,0,,,27,NA,NA,NA
EL4X_89.EL4X_348 wt b3,B3 - 2 - 7,droite,Couple,Contrainte hydrique,3,2,7,348,47,225,5,3,0,,,"29,5","27,5",11,"0,5"
EL4X_329.EL4X_235 wt b3,B3 - 2 - 8,gauche,Couple,Contrainte hydrique,3,2,8,329,57,189,4,3,0,,,"24,25",74,44,2
EL4X_329.EL4X_235 wt b3,B3 - 2 - 8,droite,Couple,Contrainte hydrique,3,2,8,235,45,174,3,3,0,,,16,25,-5,"-0,5"
EL4X_165.EL4X_74 wt b3,B3 - 2 - 9,gauche,Couple,Contrainte hydrique,3,2,9,165,44,90,4,3,0,,,"11,5",NA,NA,NA
EL4X_165.EL4X_74 wt b3,B3 - 2 - 9,droite,Couple,Contrainte hydrique,3,2,9,74,44,207,4,3,0,,,22,NA,0,"0,5"
EL4X_130.EL4X_74 wt b3,B3 - 3 - 1,gauche,Couple,Contrainte hydrique,3,3,1,130,45,207,4,3,0,,,"37,5","41,5","3,5","0,5"
EL4X_130.EL4X_74 wt b3,B3 - 3 - 1,droite,Couple,Contrainte hydrique,3,3,1,74,48,227,4,3,0,,,"23,5","31,5","-1,5",0
EL4X_482.EL4X_482 wt b3,B3 - 3 - 2,gauche,Monoculture,Contrainte hydrique,3,3,2,482,49,195,3,3,0,,,22,33,"-0,5",0
EL4X_482.EL4X_482 wt b3,B3 - 3 - 2,droite,Monoculture,Contrainte hydrique,3,3,2,482,46,222,3,2,0,,,"33,5",32,0,0
EL4X_165.EL4X_412 wt b3,B3 - 3 - 3,gauche,Couple,Contrainte hydrique,3,3,3,165,49,220,4,3,0,,,"34,75",85,74,2
EL4X_165.EL4X_412 wt b3,B3 - 3 - 3,droite,Couple,Contrainte hydrique,3,3,3,412,56,94,3,2,0,,,NA,92,"16,5",1
EL4X_376.EL4X_376 wt b3,B3 - 3 - 4,gauche,Monoculture,Contrainte hydrique,3,3,4,376,57,240,5,3,0,,,"41,5",22,0,0
EL4X_376.EL4X_376 wt b3,B3 - 3 - 4,droite,Monoculture,Contrainte hydrique,3,3,4,376,45,252,5,2,0,,,"31,5","15,5","0,5",0
EL4X_114.EL4X_235 wt b3,B3 - 3 - 5,gauche,Couple,Contrainte hydrique,3,3,5,114,42,214,5,3,0,,,"41,75",67,84,"2,5"
EL4X_114.EL4X_235 wt b3,B3 - 3 - 5,droite,Couple,Contrainte hydrique,3,3,5,235,48,234,4,2,0,,,"32,5",68,"63,5","2,5"
EL4X_395.EL4X_114 wt b3,B3 - 3 - 6,gauche,Couple,Contrainte hydrique,3,3,6,395,40,219,3,2,0,,,"17,83333333",NA,NA,NA
EL4X_395.EL4X_114 wt b3,B3 - 3 - 6,droite,Couple,Contrainte hydrique,3,3,6,114,44,221,4,3,0,,,21,36,"-5,5",0
EL4X_265.EL4X_118 wt b3,B3 - 3 - 7,gauche,Couple,Contrainte hydrique,3,3,7,265,48,226,4,2,0,,,26,"25,5",4,"-0,5"
EL4X_265.EL4X_118 wt b3,B3 - 3 - 7,droite,Couple,Contrainte hydrique,3,3,7,118,39,205,5,2,0,,,"26,5",23,"-2,5","-0,5"
EL4X_118.EL4X_118 wt b3,B3 - 3 - 8,gauche,Monoculture,Contrainte hydrique,3,3,8,118,25,201,4,2,0,,,30,40,"72,5",2
EL4X_118.EL4X_118 wt b3,B3 - 3 - 8,droite,Monoculture,Contrainte hydrique,3,3,8,118,29,188,4,2,0,,,20,"19,5",2,0
EL4X_395.EL4X_376 wt b3,B3 - 3 - 9,gauche,Couple,Contrainte hydrique,3,3,9,395,54,205,3,2,0,,,"17,5","30,5","32,5","1,5"
EL4X_395.EL4X_376 wt b3,B3 - 3 - 9,droite,Couple,Contrainte hydrique,3,3,9,376,74,218,5,3,0,,,"28,5",36,3,0
EL4X_482.EL4X_265 wt b3,B3 - 4 - 1,gauche,Couple,Contrainte hydrique,3,4,1,482,50,215,4,3,0,,,"51,5","85,5",64,"2,5"
EL4X_482.EL4X_265 wt b3,B3 - 4 - 1,droite,Couple,Contrainte hydrique,3,4,1,265,43,185,3,3,0,,,45,"62,5",56,2
EL4X_412.EL4X_74 wt b3,B3 - 4 - 2,gauche,Couple,Contrainte hydrique,3,4,2,412,50,186,4,2,0,,,"30,75",65,52,2
EL4X_412.EL4X_74 wt b3,B3 - 4 - 2,droite,Couple,Contrainte hydrique,3,4,2,74,41,206,3,3,0,,,22,"30,5","-0,5",0
EL4X_412.EL4X_131 wt b3,B3 - 4 - 3,gauche,Couple,Contrainte hydrique,3,4,3,412,66,199,4,3,0,,,25,"41,5",1,"-0,5"
EL4X_412.EL4X_131 wt b3,B3 - 4 - 3,droite,Couple,Contrainte hydrique,3,4,3,131,53,209,5,2,0,,,38,"62,5","74,5",2
EL4X_395.EL4X_235 wt b3,B3 - 4 - 4,gauche,Couple,Contrainte hydrique,3,4,4,395,51,NA,NA,NA,0,,,NA,NA,NA,NA
EL4X_395.EL4X_235 wt b3,B3 - 4 - 4,droite,Couple,Contrainte hydrique,3,4,4,235,45,222,4,2,0,,,32,"51,5","58,5",2
EL4X_376.EL4X_235 wt b3,B3 - 4 - 5,gauche,Couple,Contrainte hydrique,3,4,5,376,37,241,5,3,0,,,38,"34,5",-3,0
EL4X_376.EL4X_235 wt b3,B3 - 4 - 5,droite,Couple,Contrainte hydrique,3,4,5,235,43,221,4,2,0,,,28,57,54,2
EL4X_265.EL4X_348 wt b3,B3 - 4 - 6,gauche,Couple,Contrainte hydrique,3,4,6,265,45,160,4,2,0,,,NA,NA,NA,NA
EL4X_265.EL4X_348 wt b3,B3 - 4 - 6,droite,Couple,Contrainte hydrique,3,4,6,348,41,76,2,3,1,,,NA,NA,NA,NA
EL4X_130.EL4X_130 wt b3,B3 - 4 - 7,gauche,Monoculture,Contrainte hydrique,3,4,7,130,44,215,4,3,0,,,"32,5","34,5",3,"0,5"
EL4X_130.EL4X_130 wt b3,B3 - 4 - 7,droite,Monoculture,Contrainte hydrique,3,4,7,130,40,192,4,3,0,,,26,30,0,0
EL4X_118.EL4X_348 wt b3,B3 - 4 - 8,gauche,Couple,Contrainte hydrique,3,4,8,118,36,179,4,3,0,,,"24,5",24,0,"-0,5"
EL4X_118.EL4X_348 wt b3,B3 - 4 - 8,droite,Couple,Contrainte hydrique,3,4,8,348,47,227,4,3,0,,,31,35,-2,0
EL4X_165.EL4X_165 wt b3,B3 - 4 - 9,gauche,Monoculture,Contrainte hydrique,3,4,9,165,47,204,4,2,0,,,32,"61,5",66,"1,5"
EL4X_165.EL4X_165 wt b3,B3 - 4 - 9,droite,Monoculture,Contrainte hydrique,3,4,9,165,51,206,4,3,0,,,32,NA,-1,0
EL4X_329.EL4X_329 wt b3,B3 - 5 - 1,gauche,Monoculture,Contrainte hydrique,3,5,1,329,48,201,4,3,0,,,23,40,"-0,5","-0,5"
EL4X_329.EL4X_329 wt b3,B3 - 5 - 1,droite,Monoculture,Contrainte hydrique,3,5,1,329,55,195,4,3,0,,,"23,5",41,-1,"-0,5"
EL4X_114.EL4X_376 wt b3,B3 - 5 - 2,gauche,Couple,Contrainte hydrique,3,5,2,114,40,213,4,2,0,,,27,NA,NA,NA
EL4X_114.EL4X_376 wt b3,B3 - 5 - 2,droite,Couple,Contrainte hydrique,3,5,2,376,48,195,4,3,0,,,"39,5",67,"75,5",2
EL4X_89.EL4X_482 wt b3,B3 - 5 - 3,gauche,Couple,Contrainte hydrique,3,5,3,89,45,211,4,3,0,,,"30,75",67,65,2
EL4X_89.EL4X_482 wt b3,B3 - 5 - 3,droite,Couple,Contrainte hydrique,3,5,3,482,47,221,4,3,0,,,30,26,-2,"-0,5"
EL4X_89.EL4X_265 wt b3,B3 - 5 - 4,gauche,Couple,Contrainte hydrique,3,5,4,89,46,200,4,3,0,,,"17,66666667",NA,NA,NA
EL4X_89.EL4X_265 wt b3,B3 - 5 - 4,droite,Couple,Contrainte hydrique,3,5,4,265,40,201,3,2,0,,,"26,25","70,5",60,"1,5"
EL4X_235.EL4X_235 wt b3,B3 - 5 - 5,gauche,Monoculture,Contrainte hydrique,3,5,5,235,44,224,5,2,0,,,28,"28,5",-3,"-0,5"
EL4X_235.EL4X_235 wt b3,B3 - 5 - 5,droite,Monoculture,Contrainte hydrique,3,5,5,235,48,211,4,2,0,,,"28,75","52,5",50,2
EL4X_114.EL4X_114 wt b3,B3 - 5 - 6,gauche,Monoculture,Contrainte hydrique,3,5,6,114,43,222,3,2,0,,,"22,5","46,5",47,1
EL4X_114.EL4X_114 wt b3,B3 - 5 - 6,droite,Monoculture,Contrainte hydrique,3,5,6,114,44,191,4,3,0,,,"37,5",71,65,2
EL4X_165.EL4X_131 wt b3,B3 - 5 - 7,gauche,Couple,Contrainte hydrique,3,5,7,165,54,231,5,2,0,,,35,"35,5",0,0
EL4X_165.EL4X_131 wt b3,B3 - 5 - 7,droite,Couple,Contrainte hydrique,3,5,7,131,55,178,4,2,0,,,26,"16,5","-4,5","-0,5"
EL4X_348.EL4X_348 wt b3,B3 - 5 - 8,gauche,Monoculture,Contrainte hydrique,3,5,8,348,47,205,4,3,0,,,"27,5",28,0,0
EL4X_348.EL4X_348 wt b3,B3 - 5 - 8,droite,Monoculture,Contrainte hydrique,3,5,8,348,42,173,3,3,0,,,22,"14,5","8,5","-0,5"
EL4X_130.EL4X_131 wt b3,B3 - 5 - 9,gauche,Couple,Contrainte hydrique,3,5,9,130,46,187,4,3,0,,,"25,5",28,0,0
EL4X_130.EL4X_131 wt b3,B3 - 5 - 9,droite,Couple,Contrainte hydrique,3,5,9,131,46,233,5,2,0,,,"41,25",58,78,2
EL4X_329.EL4X_235 WT b4,B4 - 1 - 1,gauche,Couple,Bien irrigue,4,1,1,329,55,194,4,3,0,,,21,"41,5","-1,5","-0,5"
EL4X_329.EL4X_235 WT b4,B4 - 1 - 1,droite,Couple,Bien irrigue,4,1,1,235,44,222,5,2,0,,,"35,5","61,5","82,5","2,5"
EL4X_329.EL4X_395 WT b4,B4 - 1 - 2,gauche,Couple,Bien irrigue,4,1,2,329,51,240,4,3,0,,,"38,25","72,5","62,5",2
EL4X_329.EL4X_395 WT b4,B4 - 1 - 2,droite,Couple,Bien irrigue,4,1,2,395,54,115,4,2,0,,,"16,25","32,5","36,5",2
EL4X_89.EL4X_89 WT b4,B4 - 1 - 3,gauche,Monoculture,Bien irrigue,4,1,3,89,41,229,5,3,1,,,"28,5","21,5",8,"0,5"
EL4X_89.EL4X_89 WT b4,B4 - 1 - 3,droite,Monoculture,Bien irrigue,4,1,3,89,42,244,4,3,1,,,"38,75",87,"72,5","2,5"
EL4X_395.EL4X_114 WT b4,B4 - 1 - 4,gauche,Couple,Bien irrigue,4,1,4,395,51,208,3,2,0,,,"13,5",60,"67,5",2
EL4X_395.EL4X_114 WT b4,B4 - 1 - 4,droite,Couple,Bien irrigue,4,1,4,114,46,209,5,3,0,,,"34,25",28,"41,5",2
EL4X_395.EL4X_395 WT b4,B4 - 1 - 5,gauche,Monoculture,Bien irrigue,4,1,5,395,49,208,3,2,0,,,"22,5","48,5","47,5","1,5"
EL4X_395.EL4X_395 WT b4,B4 - 1 - 5,droite,Monoculture,Bien irrigue,4,1,5,395,46,272,5,2,0,,,"47,75","72,5","102,5",2
EL4X_412.EL4X_131 WT b4,B4 - 1 - 6,gauche,Couple,Bien irrigue,4,1,6,412,48,193,4,2,0,,,"26,25","56,5",51,2
EL4X_412.EL4X_131 WT b4,B4 - 1 - 6,droite,Couple,Bien irrigue,4,1,6,131,51,230,5,3,0,,,41,67,86,"2,5"
EL4X_130.EL4X_131 WT b4,B4 - 1 - 7,gauche,Couple,Bien irrigue,4,1,7,130,31,184,3,3,0,,,"27,5","29,5","0,5",0
EL4X_130.EL4X_131 WT b4,B4 - 1 - 7,droite,Couple,Bien irrigue,4,1,7,131,44,198,4,2,0,,,"24,75","46,5","42,5","1,5"
EL4X_265.EL4X_348 WT b4,B4 - 1 - 8,gauche,Couple,Bien irrigue,4,1,8,265,38,217,4,3,0,,,"29,5",34,"-0,5",0
EL4X_265.EL4X_348 WT b4,B4 - 1 - 8,droite,Couple,Bien irrigue,4,1,8,348,46,238,4,3,0,,,26,33,0,0
EL4X_118.EL4X_118 WT b4,B4 - 1 - 9,gauche,Monoculture,Bien irrigue,4,1,9,118,41,185,5,3,0,,,"27,5",25,2,0
EL4X_118.EL4X_118 WT b4,B4 - 1 - 9,droite,Monoculture,Bien irrigue,4,1,9,118,34,207,4,2,0,,,35,"66,5",70,2
EL4X_165.EL4X_130 WT b4,B4 - 2 - 1,gauche,Couple,Bien irrigue,4,2,1,165,47,65,2,2,0,,,NA,NA,NA,NA
EL4X_165.EL4X_130 WT b4,B4 - 2 - 1,droite,Couple,Bien irrigue,4,2,1,130,49,196,4,3,0,,,41,40,"-2,5","-0,5"
EL4X_329.EL4X_376 WT b4,B4 - 2 - 2,gauche,Couple,Bien irrigue,4,2,2,329,58,216,4,2,0,,,NA,66,"46,5",2
EL4X_329.EL4X_376 WT b4,B4 - 2 - 2,droite,Couple,Bien irrigue,4,2,2,376,61,182,4,3,0,,,"36,25",80,"67,5",2
EL4X_165.EL4X_74 WT b4,B4 - 2 - 3,gauche,Couple,Bien irrigue,4,2,3,165,50,241,4,3,0,,,"36,5",83,66,2
EL4X_165.EL4X_74 WT b4,B4 - 2 - 3,droite,Couple,Bien irrigue,4,2,3,74,44,202,4,3,0,,,"23,5",31,"0,5",0
EL4X_131.EL4X_74 WT b4,B4 - 2 - 4,gauche,Couple,Bien irrigue,4,2,4,131,39,225,5,3,0,,,"41,75","71,5",92,"2,5"
EL4X_131.EL4X_74 WT b4,B4 - 2 - 4,droite,Couple,Bien irrigue,4,2,4,74,48,211,3,3,0,,,"22,5",32,"2,5",0
EL4X_395.EL4X_235 WT b4,B4 - 2 - 5,gauche,Couple,Bien irrigue,4,2,5,395,54,224,5,2,0,,,39,"62,5","72,5",2
EL4X_395.EL4X_235 WT b4,B4 - 2 - 5,droite,Couple,Bien irrigue,4,2,5,235,41,259,5,3,1,,,30,65,56,2
EL4X_130.EL4X_412 WT b4,B4 - 2 - 6,gauche,Couple,Bien irrigue,4,2,6,130,44,215,3,3,0,,,25,"37,5",1,0
EL4X_130.EL4X_412 WT b4,B4 - 2 - 6,droite,Couple,Bien irrigue,4,2,6,412,51,206,4,3,0,,,"33,75",69,"64,5","2,5"
EL4X_131.EL4X_131 WT b4,B4 - 2 - 7,gauche,Monoculture,Bien irrigue,4,2,7,131,45,238,4,2,0,,,"36,5",48,"78,5",2
EL4X_131.EL4X_131 WT b4,B4 - 2 - 7,droite,Monoculture,Bien irrigue,4,2,7,131,50,222,5,2,0,,,"42,5","62,5","92,5",2
EL4X_74.EL4X_74 WT b4,B4 - 2 - 8,gauche,Monoculture,Bien irrigue,4,2,8,74,41,199,4,3,0,,,"27,5",35,0,"0,5"
EL4X_74.EL4X_74 WT b4,B4 - 2 - 8,droite,Monoculture,Bien irrigue,4,2,8,74,50,192,3,3,0,,,"22,5","33,5",0,"-0,5"
EL4X_114.EL4X_376 WT b4,B4 - 2 - 9,gauche,Couple,Bien irrigue,4,2,9,114,45,213,5,3,0,,,37,"66,5","72,5",2
EL4X_114.EL4X_376 WT b4,B4 - 2 - 9,droite,Couple,Bien irrigue,4,2,9,376,44,210,5,3,0,,,"45,25",67,91,"2,5"
EL4X_482.EL4X_482 WT b4,B4 - 3 - 1,gauche,Monoculture,Bien irrigue,4,3,1,482,45,227,4,3,0,,,32,"34,5",1,"0,5"
EL4X_482.EL4X_482 WT b4,B4 - 3 - 1,droite,Monoculture,Bien irrigue,4,3,1,482,49,240,4,3,0,,,27,"36,5",0,0
EL4X_89.EL4X_482 WT b4,B4 - 3 - 2,gauche,Couple,Bien irrigue,4,3,2,89,41,210,3,3,0,,,"29,5",24,"-4,5",0
EL4X_89.EL4X_482 WT b4,B4 - 3 - 2,droite,Couple,Bien irrigue,4,3,2,482,50,235,4,3,1,,,"37,75","76,5","82,5","2,5"
EL4X_89.EL4X_118 WT b4,B4 - 3 - 3,gauche,Couple,Bien irrigue,4,3,3,89,42,199,5,3,0,,,39,"75,5",80,"2,5"
EL4X_89.EL4X_118 WT b4,B4 - 3 - 3,droite,Couple,Bien irrigue,4,3,3,118,32,186,5,2,0,,,"29,75","66,5",65,2
EL4X_235.EL4X_235 WT b4,B4 - 3 - 4,gauche,Monoculture,Bien irrigue,4,3,4,235,41,227,5,2,0,,,38,"70,5",79,"2,5"
EL4X_235.EL4X_235 WT b4,B4 - 3 - 4,droite,Monoculture,Bien irrigue,4,3,4,235,40,211,4,2,0,,,"30,25",66,59,"2,5"
EL4X_265.EL4X_118 WT b4,B4 - 3 - 5,gauche,Couple,Bien irrigue,4,3,5,265,41,124,3,3,0,,,NA,35,"-2,5",0
EL4X_265.EL4X_118 WT b4,B4 - 3 - 5,droite,Couple,Bien irrigue,4,3,5,118,30,181,4,3,0,,,22,30,1,"0,5"
EL4X_165.EL4X_131 WT b4,B4 - 3 - 6,gauche,Couple,Bien irrigue,4,3,6,165,49,198,3,3,0,,,"25,5","36,5","-1,5",0
EL4X_165.EL4X_131 WT b4,B4 - 3 - 6,droite,Couple,Bien irrigue,4,3,6,131,43,219,4,2,0,,,"32,5",54,"71,5","2,5"
EL4X_118.EL4X_348 WT b4,B4 - 3 - 7,gauche,Couple,Bien irrigue,4,3,7,118,43,202,4,3,0,,,"32,25","82,5",65,"2,5"
EL4X_118.EL4X_348 WT b4,B4 - 3 - 7,droite,Couple,Bien irrigue,4,3,7,348,49,216,4,3,0,,,"37,5","33,5","3,5","-0,5"
EL4X_89.EL4X_348 WT b4,B4 - 3 - 8,gauche,Couple,Bien irrigue,4,3,8,89,48,186,3,2,0,,,25,"52,5",50,2
EL4X_89.EL4X_348 WT b4,B4 - 3 - 8,droite,Couple,Bien irrigue,4,3,8,348,47,210,4,3,0,,,"33,5","32,5",-2,"0,5"
EL4X_130.EL4X_130 WT b4,B4 - 3 - 9,gauche,Monoculture,Bien irrigue,4,3,9,130,41,195,4,3,0,,,"38,25","68,5",85,"2,5"
EL4X_130.EL4X_130 WT b4,B4 - 3 - 9,droite,Monoculture,Bien irrigue,4,3,9,130,53,207,4,3,0,,,32,"32,5","-3,5",0
EL4X_329.EL4X_329 WT b4,B4 - 4 - 1,gauche,Monoculture,Bien irrigue,4,4,1,329,54,199,5,3,0,,,"30,5","32,5",-1,"0,5"
EL4X_329.EL4X_329 WT b4,B4 - 4 - 1,droite,Monoculture,Bien irrigue,4,4,1,329,55,170,2,3,0,,,"19,75","67,5","36,5",2
EL4X_482.EL4X_265 WT b4,B4 - 4 - 2,gauche,Couple,Bien irrigue,4,4,2,482,48,187,4,2,0,,,"24,5",66,-2,0
EL4X_482.EL4X_265 WT b4,B4 - 4 - 2,droite,Couple,Bien irrigue,4,4,2,265,47,200,4,3,0,,,NA,11,"14,5",0
EL4X_482.EL4X_118 WT b4,B4 - 4 - 3,gauche,Couple,Bien irrigue,4,4,3,482,45,213,4,3,0,,,NA,"45,5",0,"-0,5"
EL4X_482.EL4X_118 WT b4,B4 - 4 - 3,droite,Couple,Bien irrigue,4,4,3,118,27,195,3,2,0,,,31,"51,5",67,2
