Couple,Position,Monoculture_Couple,Condition_hydrique,Bloc,Colonne,Ligne,Position_pots,plante_genotype,poids_graine,date_ligule_1,date_ligule_2,date_ligule_3
EL4X_89.EL4X_118 wt b3,B3 - 1 - 4,Couple,Contrainte hydrique,3,1,4,droite,118,32,17/11/2021,23/11/2021,
EL4X_329.EL4X_114 wt b3,B3 - 1 - 5,Couple,Contrainte hydrique,3,1,5,gauche,329,57,15/11/2021,21/11/2021,
EL4X_329.EL4X_114 wt b3,B3 - 1 - 5,Couple,Contrainte hydrique,3,1,5,droite,114,41,17/11/2021,21/11/2021,
EL4X_74.EL4X_74 wt b3,B3 - 1 - 6,Monoculture,Contrainte hydrique,3,1,6,gauche,74,38,15/11/2021,21/11/2021,
EL4X_74.EL4X_74 wt b3,B3 - 1 - 6,Monoculture,Contrainte hydrique,3,1,6,droite,74,45,17/11/2021,21/11/2021,
EL4X_329.EL4X_395 wt b3,B3 - 1 - 7,Couple,Contrainte hydrique,3,1,7,gauche,329,58,15/11/2021,21/11/2021,
EL4X_329.EL4X_395 wt b3,B3 - 1 - 7,Couple,Contrainte hydrique,3,1,7,droite,395,56,NA,21/11/2021,
EL4X_265.EL4X_265 wt b3,B3 - 1 - 8,Monoculture,Contrainte hydrique,3,1,8,gauche,265,48,15/11/2021,21/11/2021,
EL4X_265.EL4X_265 wt b3,B3 - 1 - 8,Monoculture,Contrainte hydrique,3,1,8,droite,265,43,15/11/2021,21/11/2021,
EL4X_165.EL4X_130 wt b3,B3 - 1 - 9,Couple,Contrainte hydrique,3,1,9,gauche,165,49,15/11/2021,21/11/2021,
EL4X_165.EL4X_130 wt b3,B3 - 1 - 9,Couple,Contrainte hydrique,3,1,9,droite,130,54,15/11/2021,21/11/2021,
EL4X_131.EL4X_74 wt b3,B3 - 2 - 1,Couple,Contrainte hydrique,3,2,1,gauche,131,63,17/11/2021,23/11/2021,
EL4X_131.EL4X_74 wt b3,B3 - 2 - 1,Couple,Contrainte hydrique,3,2,1,droite,74,41,15/11/2021,21/11/2021,
EL4X_395.EL4X_395 wt b3,B3 - 2 - 2,Monoculture,Contrainte hydrique,3,2,2,gauche,395,47,17/11/2021,23/11/2021,
EL4X_395.EL4X_395 wt b3,B3 - 2 - 2,Monoculture,Contrainte hydrique,3,2,2,droite,395,52,17/11/2021,NA,
EL4X_89.EL4X_89 wt b3,B3 - 2 - 3,Monoculture,Contrainte hydrique,3,2,3,gauche,89,46,17/11/2021,23/11/2021,
EL4X_89.EL4X_89 wt b3,B3 - 2 - 3,Monoculture,Contrainte hydrique,3,2,3,droite,89,43,15/11/2021,21/11/2021,
EL4X_482.EL4X_118 wt b3,B3 - 2 - 4,Couple,Contrainte hydrique,3,2,4,gauche,482,53,15/11/2021,21/11/2021,
EL4X_482.EL4X_118 wt b3,B3 - 2 - 4,Couple,Contrainte hydrique,3,2,4,droite,118,29,15/11/2021,21/11/2021,
EL4X_482.EL4X_348 wt b3,B3 - 2 - 5,Couple,Contrainte hydrique,3,2,5,gauche,482,43,NA,NA,
EL4X_482.EL4X_348 wt b3,B3 - 2 - 5,Couple,Contrainte hydrique,3,2,5,droite,348,48,15/11/2021,21/11/2021,
EL4X_130.EL4X_412 wt b3,B3 - 2 - 6,Couple,Contrainte hydrique,3,2,6,gauche,130,48,15/11/2021,21/11/2021,
EL4X_130.EL4X_412 wt b3,B3 - 2 - 6,Couple,Contrainte hydrique,3,2,6,droite,412,50,15/11/2021,21/11/2021,
EL4X_89.EL4X_348 wt b3,B3 - 2 - 7,Couple,Contrainte hydrique,3,2,7,gauche,89,46,NA,23/11/2021,
EL4X_89.EL4X_348 wt b3,B3 - 2 - 7,Couple,Contrainte hydrique,3,2,7,droite,348,47,15/11/2021,21/11/2021,
EL4X_329.EL4X_235 wt b3,B3 - 2 - 8,Couple,Contrainte hydrique,3,2,8,gauche,329,57,17/11/2021,23/11/2021,
EL4X_329.EL4X_235 wt b3,B3 - 2 - 8,Couple,Contrainte hydrique,3,2,8,droite,235,45,15/11/2021,23/11/2021,
EL4X_165.EL4X_74 wt b3,B3 - 2 - 9,Couple,Contrainte hydrique,3,2,9,gauche,165,44,NA,21/11/2021,
EL4X_165.EL4X_74 wt b3,B3 - 2 - 9,Couple,Contrainte hydrique,3,2,9,droite,74,44,15/11/2021,21/11/2021,
EL4X_130.EL4X_74 wt b3,B3 - 3 - 1,Couple,Contrainte hydrique,3,3,1,gauche,130,45,15/11/2021,21/11/2021,
EL4X_130.EL4X_74 wt b3,B3 - 3 - 1,Couple,Contrainte hydrique,3,3,1,droite,74,48,15/11/2021,21/11/2021,
EL4X_482.EL4X_482 wt b3,B3 - 3 - 2,Monoculture,Contrainte hydrique,3,3,2,gauche,482,49,15/11/2021,21/11/2021,
EL4X_482.EL4X_482 wt b3,B3 - 3 - 2,Monoculture,Contrainte hydrique,3,3,2,droite,482,46,15/11/2021,23/11/2021,
EL4X_165.EL4X_412 wt b3,B3 - 3 - 3,Couple,Contrainte hydrique,3,3,3,gauche,165,49,17/11/2021,23/11/2021,
EL4X_165.EL4X_412 wt b3,B3 - 3 - 3,Couple,Contrainte hydrique,3,3,3,droite,412,56,17/11/2021,21/11/2021,
EL4X_376.EL4X_376 wt b3,B3 - 3 - 4,Monoculture,Contrainte hydrique,3,3,4,gauche,376,57,15/11/2021,23/11/2021,
EL4X_376.EL4X_376 wt b3,B3 - 3 - 4,Monoculture,Contrainte hydrique,3,3,4,droite,376,45,15/11/2021,23/11/2021,
EL4X_114.EL4X_235 wt b3,B3 - 3 - 5,Couple,Contrainte hydrique,3,3,5,gauche,114,42,17/11/2021,23/11/2021,
EL4X_114.EL4X_235 wt b3,B3 - 3 - 5,Couple,Contrainte hydrique,3,3,5,droite,235,48,17/11/2021,23/11/2021,
EL4X_395.EL4X_114 wt b3,B3 - 3 - 6,Couple,Contrainte hydrique,3,3,6,gauche,395,40,NA,NA,
EL4X_395.EL4X_114 wt b3,B3 - 3 - 6,Couple,Contrainte hydrique,3,3,6,droite,114,44,15/11/2021,21/11/2021,
EL4X_265.EL4X_118 wt b3,B3 - 3 - 7,Couple,Contrainte hydrique,3,3,7,gauche,265,48,15/11/2021,23/11/2021,
EL4X_265.EL4X_118 wt b3,B3 - 3 - 7,Couple,Contrainte hydrique,3,3,7,droite,118,39,15/11/2021,23/11/2021,
EL4X_118.EL4X_118 wt b3,B3 - 3 - 8,Monoculture,Contrainte hydrique,3,3,8,gauche,118,25,17/11/2021,Na,
EL4X_118.EL4X_118 wt b3,B3 - 3 - 8,Monoculture,Contrainte hydrique,3,3,8,droite,118,29,15/11/2021,23/11/2021,
EL4X_395.EL4X_376 wt b3,B3 - 3 - 9,Couple,Contrainte hydrique,3,3,9,gauche,395,54,17/11/2021,NA,
EL4X_395.EL4X_376 wt b3,B3 - 3 - 9,Couple,Contrainte hydrique,3,3,9,droite,376,74,15/11/2021,21/11/2021,
EL4X_482.EL4X_265 wt b3,B3 - 4 - 1,Couple,Contrainte hydrique,3,4,1,gauche,482,50,17/11/2021,21/11/2021,
EL4X_482.EL4X_265 wt b3,B3 - 4 - 1,Couple,Contrainte hydrique,3,4,1,droite,265,43,17/11/2021,23/11/2021,
EL4X_412.EL4X_74 wt b3,B3 - 4 - 2,Couple,Contrainte hydrique,3,4,2,gauche,412,50,17/11/2021,23/11/2021,
EL4X_412.EL4X_74 wt b3,B3 - 4 - 2,Couple,Contrainte hydrique,3,4,2,droite,74,41,15/11/2021,21/11/2021,
EL4X_412.EL4X_131 wt b3,B3 - 4 - 3,Couple,Contrainte hydrique,3,4,3,gauche,412,66,15/11/2021,21/11/2021,
EL4X_412.EL4X_131 wt b3,B3 - 4 - 3,Couple,Contrainte hydrique,3,4,3,droite,131,53,17/11/2021,23/11/2021,
EL4X_395.EL4X_235 wt b3,B3 - 4 - 4,Couple,Contrainte hydrique,3,4,4,gauche,395,51,NA,NA,
EL4X_395.EL4X_235 wt b3,B3 - 4 - 4,Couple,Contrainte hydrique,3,4,4,droite,235,45,17/11/2021,NA,
EL4X_376.EL4X_235 wt b3,B3 - 4 - 5,Couple,Contrainte hydrique,3,4,5,gauche,376,37,15/11/2021,23/11/2021,
EL4X_376.EL4X_235 wt b3,B3 - 4 - 5,Couple,Contrainte hydrique,3,4,5,droite,235,43,17/11/2021,NA,
EL4X_265.EL4X_348 wt b3,B3 - 4 - 6,Couple,Contrainte hydrique,3,4,6,gauche,265,45,NA,21/11/2021,
EL4X_265.EL4X_348 wt b3,B3 - 4 - 6,Couple,Contrainte hydrique,3,4,6,droite,348,41,NA,21/11/2021,
EL4X_130.EL4X_130 wt b3,B3 - 4 - 7,Monoculture,Contrainte hydrique,3,4,7,gauche,130,44,15/11/2021,23/11/2021,
EL4X_130.EL4X_130 wt b3,B3 - 4 - 7,Monoculture,Contrainte hydrique,3,4,7,droite,130,40,15/11/2021,23/11/2021,
EL4X_118.EL4X_348 wt b3,B3 - 4 - 8,Couple,Contrainte hydrique,3,4,8,gauche,118,36,15/11/2021,23/11/2021,
EL4X_118.EL4X_348 wt b3,B3 - 4 - 8,Couple,Contrainte hydrique,3,4,8,droite,348,47,15/11/2021,21/11/2021,
EL4X_165.EL4X_165 wt b3,B3 - 4 - 9,Monoculture,Contrainte hydrique,3,4,9,gauche,165,47,17/11/2021,23/11/2021,
EL4X_165.EL4X_165 wt b3,B3 - 4 - 9,Monoculture,Contrainte hydrique,3,4,9,droite,165,51,15/11/2021,23/11/2021,
EL4X_329.EL4X_329 wt b3,B3 - 5 - 1,Monoculture,Contrainte hydrique,3,5,1,gauche,329,48,15/11/2021,23/11/2021,
EL4X_329.EL4X_329 wt b3,B3 - 5 - 1,Monoculture,Contrainte hydrique,3,5,1,droite,329,55,15/11/2021,21/11/2021,
EL4X_114.EL4X_376 wt b3,B3 - 5 - 2,Couple,Contrainte hydrique,3,5,2,gauche,114,40,NA,23/11/2021,
EL4X_114.EL4X_376 wt b3,B3 - 5 - 2,Couple,Contrainte hydrique,3,5,2,droite,376,48,17/11/2021,23/11/2021,
EL4X_89.EL4X_482 wt b3,B3 - 5 - 3,Couple,Contrainte hydrique,3,5,3,gauche,89,45,17/11/2021,23/11/2021,
EL4X_89.EL4X_482 wt b3,B3 - 5 - 3,Couple,Contrainte hydrique,3,5,3,droite,482,47,15/11/2021,21/11/2021,
EL4X_89.EL4X_265 wt b3,B3 - 5 - 4,Couple,Contrainte hydrique,3,5,4,gauche,89,46,NA,21/11/2021,
EL4X_89.EL4X_265 wt b3,B3 - 5 - 4,Couple,Contrainte hydrique,3,5,4,droite,265,40,17/11/2021,23/11/2021,
EL4X_235.EL4X_235 wt b3,B3 - 5 - 5,Monoculture,Contrainte hydrique,3,5,5,gauche,235,44,15/11/2021,23/11/2021,
EL4X_235.EL4X_235 wt b3,B3 - 5 - 5,Monoculture,Contrainte hydrique,3,5,5,droite,235,48,17/11/2021,NA,
EL4X_114.EL4X_114 wt b3,B3 - 5 - 6,Monoculture,Contrainte hydrique,3,5,6,gauche,114,43,17/11/2021,NA,
EL4X_114.EL4X_114 wt b3,B3 - 5 - 6,Monoculture,Contrainte hydrique,3,5,6,droite,114,44,17/11/2021,21/11/2021,
EL4X_165.EL4X_131 wt b3,B3 - 5 - 7,Couple,Contrainte hydrique,3,5,7,gauche,165,54,15/11/2021,23/11/2021,
EL4X_165.EL4X_131 wt b3,B3 - 5 - 7,Couple,Contrainte hydrique,3,5,7,droite,131,55,15/11/2021,23/11/2021,
EL4X_348.EL4X_348 wt b3,B3 - 5 - 8,Monoculture,Contrainte hydrique,3,5,8,gauche,348,47,15/11/2021,21/11/2021,
EL4X_348.EL4X_348 wt b3,B3 - 5 - 8,Monoculture,Contrainte hydrique,3,5,8,droite,348,42,15/11/2021,21/11/2021,
EL4X_130.EL4X_131 wt b3,B3 - 5 - 9,Couple,Contrainte hydrique,3,5,9,gauche,130,46,15/11/2021,23/11/2021,
EL4X_130.EL4X_131 wt b3,B3 - 5 - 9,Couple,Contrainte hydrique,3,5,9,droite,131,46,17/11/2021,23/11/2021,
EL4X_329.EL4X_235 WT b4,B4 - 1 - 1,Couple,Bien irrigue,4,1,1,gauche,329,55,15/11/2021,21/11/2021,
EL4X_329.EL4X_235 WT b4,B4 - 1 - 1,Couple,Bien irrigue,4,1,1,droite,235,44,17/11/2021,23/11/2021,
EL4X_329.EL4X_395 WT b4,B4 - 1 - 2,Couple,Bien irrigue,4,1,2,gauche,329,51,17/11/2021,23/11/2021,
EL4X_329.EL4X_395 WT b4,B4 - 1 - 2,Couple,Bien irrigue,4,1,2,droite,395,54,17/11/2021,23/11/2021,
EL4X_89.EL4X_89 WT b4,B4 - 1 - 3,Monoculture,Bien irrigue,4,1,3,gauche,89,41,15/11/2021,21/11/2021,
EL4X_89.EL4X_89 WT b4,B4 - 1 - 3,Monoculture,Bien irrigue,4,1,3,droite,89,42,17/11/2021,21/11/2021,
EL4X_395.EL4X_114 WT b4,B4 - 1 - 4,Couple,Bien irrigue,4,1,4,gauche,395,51,17/11/2021,NA,
EL4X_395.EL4X_114 WT b4,B4 - 1 - 4,Couple,Bien irrigue,4,1,4,droite,114,46,17/11/2021,23/11/2021,
EL4X_395.EL4X_395 WT b4,B4 - 1 - 5,Monoculture,Bien irrigue,4,1,5,gauche,395,49,17/11/2021,23/11/2021,
EL4X_395.EL4X_395 WT b4,B4 - 1 - 5,Monoculture,Bien irrigue,4,1,5,droite,395,46,17/11/2021,23/11/2021,
EL4X_412.EL4X_131 WT b4,B4 - 1 - 6,Couple,Bien irrigue,4,1,6,gauche,412,48,17/11/2021,23/11/2021,
EL4X_412.EL4X_131 WT b4,B4 - 1 - 6,Couple,Bien irrigue,4,1,6,droite,131,51,17/11/2021,23/11/2021,
EL4X_130.EL4X_131 WT b4,B4 - 1 - 7,Couple,Bien irrigue,4,1,7,gauche,130,31,15/11/2021,23/11/2021,
EL4X_130.EL4X_131 WT b4,B4 - 1 - 7,Couple,Bien irrigue,4,1,7,droite,131,44,17/11/2021,23/11/2021,
EL4X_265.EL4X_348 WT b4,B4 - 1 - 8,Couple,Bien irrigue,4,1,8,gauche,265,38,15/11/2021,23/11/2021,
EL4X_265.EL4X_348 WT b4,B4 - 1 - 8,Couple,Bien irrigue,4,1,8,droite,348,46,15/11/2021,21/11/2021,
EL4X_118.EL4X_118 WT b4,B4 - 1 - 9,Monoculture,Bien irrigue,4,1,9,gauche,118,41,15/11/2021,23/11/2021,
EL4X_118.EL4X_118 WT b4,B4 - 1 - 9,Monoculture,Bien irrigue,4,1,9,droite,118,34,17/11/2021,23/11/2021,
EL4X_165.EL4X_130 WT b4,B4 - 2 - 1,Couple,Bien irrigue,4,2,1,gauche,165,47,NA,NA,
EL4X_165.EL4X_130 WT b4,B4 - 2 - 1,Couple,Bien irrigue,4,2,1,droite,130,49,15/11/2021,21/11/2021,
EL4X_329.EL4X_376 WT b4,B4 - 2 - 2,Couple,Bien irrigue,4,2,2,gauche,329,58,17/11/2021,23/11/2021,
EL4X_329.EL4X_376 WT b4,B4 - 2 - 2,Couple,Bien irrigue,4,2,2,droite,376,61,17/11/2021,21/11/2021,
EL4X_165.EL4X_74 WT b4,B4 - 2 - 3,Couple,Bien irrigue,4,2,3,gauche,165,50,17/11/2021,23/11/2021,
EL4X_165.EL4X_74 WT b4,B4 - 2 - 3,Couple,Bien irrigue,4,2,3,droite,74,44,15/11/2021,21/11/2021,
EL4X_131.EL4X_74 WT b4,B4 - 2 - 4,Couple,Bien irrigue,4,2,4,gauche,131,39,17/11/2021,23/11/2021,
EL4X_131.EL4X_74 WT b4,B4 - 2 - 4,Couple,Bien irrigue,4,2,4,droite,74,48,15/11/2021,21/11/2021,
EL4X_395.EL4X_235 WT b4,B4 - 2 - 5,Couple,Bien irrigue,4,2,5,gauche,395,54,17/11/2021,23/11/2021,
EL4X_395.EL4X_235 WT b4,B4 - 2 - 5,Couple,Bien irrigue,4,2,5,droite,235,41,17/11/2021,NA,
EL4X_130.EL4X_412 WT b4,B4 - 2 - 6,Couple,Bien irrigue,4,2,6,gauche,130,44,15/11/2021,23/11/2021,
EL4X_130.EL4X_412 WT b4,B4 - 2 - 6,Couple,Bien irrigue,4,2,6,droite,412,51,17/11/2021,23/11/2021,
EL4X_131.EL4X_131 WT b4,B4 - 2 - 7,Monoculture,Bien irrigue,4,2,7,gauche,131,45,17/11/2021,NA,
EL4X_131.EL4X_131 WT b4,B4 - 2 - 7,Monoculture,Bien irrigue,4,2,7,droite,131,50,17/11/2021,23/11/2021,
EL4X_74.EL4X_74 WT b4,B4 - 2 - 8,Monoculture,Bien irrigue,4,2,8,gauche,74,41,15/11/2021,21/11/2021,
EL4X_74.EL4X_74 WT b4,B4 - 2 - 8,Monoculture,Bien irrigue,4,2,8,droite,74,50,15/11/2021,21/11/2021,
EL4X_114.EL4X_376 WT b4,B4 - 2 - 9,Couple,Bien irrigue,4,2,9,gauche,114,45,17/11/2021,23/11/2021,
EL4X_114.EL4X_376 WT b4,B4 - 2 - 9,Couple,Bien irrigue,4,2,9,droite,376,44,17/11/2021,23/11/2021,
EL4X_482.EL4X_482 WT b4,B4 - 3 - 1,Monoculture,Bien irrigue,4,3,1,gauche,482,45,15/11/2021,21/11/2021,
EL4X_482.EL4X_482 WT b4,B4 - 3 - 1,Monoculture,Bien irrigue,4,3,1,droite,482,49,15/11/2021,21/11/2021,
EL4X_89.EL4X_482 WT b4,B4 - 3 - 2,Couple,Bien irrigue,4,3,2,gauche,89,41,15/11/2021,23/11/2021,
EL4X_89.EL4X_482 WT b4,B4 - 3 - 2,Couple,Bien irrigue,4,3,2,droite,482,50,17/11/2021,21/11/2021,
EL4X_89.EL4X_118 WT b4,B4 - 3 - 3,Couple,Bien irrigue,4,3,3,gauche,89,42,17/11/2021,21/11/2021,
EL4X_89.EL4X_118 WT b4,B4 - 3 - 3,Couple,Bien irrigue,4,3,3,droite,118,32,17/11/2021,23/11/2021,
EL4X_235.EL4X_235 WT b4,B4 - 3 - 4,Monoculture,Bien irrigue,4,3,4,gauche,235,41,17/11/2021,23/11/2021,
EL4X_235.EL4X_235 WT b4,B4 - 3 - 4,Monoculture,Bien irrigue,4,3,4,droite,235,40,17/11/2021,23/11/2021,
EL4X_265.EL4X_118 WT b4,B4 - 3 - 5,Couple,Bien irrigue,4,3,5,gauche,265,41,15/11/2021,21/11/2021,
EL4X_265.EL4X_118 WT b4,B4 - 3 - 5,Couple,Bien irrigue,4,3,5,droite,118,30,15/11/2021,23/11/2021,
EL4X_165.EL4X_131 WT b4,B4 - 3 - 6,Couple,Bien irrigue,4,3,6,gauche,165,49,15/11/2021,21/11/2021,
EL4X_165.EL4X_131 WT b4,B4 - 3 - 6,Couple,Bien irrigue,4,3,6,droite,131,43,17/11/2021,NA,
EL4X_118.EL4X_348 WT b4,B4 - 3 - 7,Couple,Bien irrigue,4,3,7,gauche,118,43,17/11/2021,23/11/2021,
EL4X_118.EL4X_348 WT b4,B4 - 3 - 7,Couple,Bien irrigue,4,3,7,droite,348,49,15/11/2021,21/11/2021,
EL4X_89.EL4X_348 WT b4,B4 - 3 - 8,Couple,Bien irrigue,4,3,8,gauche,89,48,17/11/2021,23/11/2021,
EL4X_89.EL4X_348 WT b4,B4 - 3 - 8,Couple,Bien irrigue,4,3,8,droite,348,47,15/11/2021,21/11/2021,
EL4X_130.EL4X_130 WT b4,B4 - 3 - 9,Monoculture,Bien irrigue,4,3,9,gauche,130,41,17/11/2021,23/11/2021,
EL4X_130.EL4X_130 WT b4,B4 - 3 - 9,Monoculture,Bien irrigue,4,3,9,droite,130,53,15/11/2021,23/11/2021,
EL4X_329.EL4X_329 WT b4,B4 - 4 - 1,Monoculture,Bien irrigue,4,4,1,gauche,329,54,15/11/2021,21/11/2021,
EL4X_329.EL4X_329 WT b4,B4 - 4 - 1,Monoculture,Bien irrigue,4,4,1,droite,329,55,17/11/2021,23/11/2021,
EL4X_482.EL4X_265 WT b4,B4 - 4 - 2,Couple,Bien irrigue,4,4,2,gauche,482,48,15/11/2021,21/11/2021,
EL4X_482.EL4X_265 WT b4,B4 - 4 - 2,Couple,Bien irrigue,4,4,2,droite,265,47,15/11/2021,23/11/2021,
EL4X_482.EL4X_118 WT b4,B4 - 4 - 3,Couple,Bien irrigue,4,4,3,gauche,482,45,15/11/2021,21/11/2021,
EL4X_482.EL4X_118 WT b4,B4 - 4 - 3,Couple,Bien irrigue,4,4,3,droite,118,27,17/11/2021,23/11/2021,
EL4X_329.EL4X_114 WT b4,B4 - 4 - 4,Couple,Bien irrigue,4,4,4,gauche,329,53,15/11/2021,21/11/2021,
EL4X_329.EL4X_114 WT b4,B4 - 4 - 4,Couple,Bien irrigue,4,4,4,droite,114,46,17/11/2021,23/11/2021,
EL4X_482.EL4X_348 WT b4,B4 - 4 - 5,Couple,Bien irrigue,4,4,5,gauche,482,52,15/11/2021,21/11/2021,
EL4X_482.EL4X_348 WT b4,B4 - 4 - 5,Couple,Bien irrigue,4,4,5,droite,348,42,15/11/2021,21/11/2021,
EL4X_376.EL4X_235 WT b4,B4 - 4 - 6,Couple,Bien irrigue,4,4,6,gauche,376,58,15/11/2021,21/11/2021,
EL4X_376.EL4X_235 WT b4,B4 - 4 - 6,Couple,Bien irrigue,4,4,6,droite,235,38,17/11/2021,NA,
EL4X_348.EL4X_348 WT b4,B4 - 4 - 7,Monoculture,Bien irrigue,4,4,7,gauche,348,49,15/11/2021,21/11/2021,
EL4X_348.EL4X_348 WT b4,B4 - 4 - 7,Monoculture,Bien irrigue,4,4,7,droite,348,47,15/11/2021,21/11/2021,
EL4X_412.EL4X_74 WT b4,B4 - 4 - 8,Couple,Bien irrigue,4,4,8,gauche,412,55,17/11/2021,23/11/2021,
EL4X_412.EL4X_74 WT b4,B4 - 4 - 8,Couple,Bien irrigue,4,4,8,droite,74,47,15/11/2021,21/11/2021,
EL4X_114.EL4X_114 WT b4,B4 - 4 - 9,Monoculture,Bien irrigue,4,4,9,gauche,114,43,17/11/2021,23/11/2021,
EL4X_114.EL4X_114 WT b4,B4 - 4 - 9,Monoculture,Bien irrigue,4,4,9,droite,114,45,17/11/2021,23/11/2021,
EL4X_376.EL4X_376 WT b4,B4 - 5 - 1,Monoculture,Bien irrigue,4,5,1,gauche,376,45,15/11/2021,23/11/2021,
EL4X_376.EL4X_376 WT b4,B4 - 5 - 1,Monoculture,Bien irrigue,4,5,1,droite,376,56,15/11/2021,23/11/2021,
EL4X_165.EL4X_165 WT b4,B4 - 5 - 2,Monoculture,Bien irrigue,4,5,2,gauche,165,47,15/11/2021,21/11/2021,
EL4X_165.EL4X_165 WT b4,B4 - 5 - 2,Monoculture,Bien irrigue,4,5,2,droite,165,46,15/11/2021,21/11/2021,
EL4X_265.EL4X_265 WT b4,B4 - 5 - 3,Monoculture,Bien irrigue,4,5,3,gauche,265,47,15/11/2021,23/11/2021,
EL4X_265.EL4X_265 WT b4,B4 - 5 - 3,Monoculture,Bien irrigue,4,5,3,droite,265,38,15/11/2021,23/11/2021,
EL4X_395.EL4X_376 WT b4,B4 - 5 - 4,Couple,Bien irrigue,4,5,4,gauche,395,47,NA,23/11/2021,
EL4X_395.EL4X_376 WT b4,B4 - 5 - 4,Couple,Bien irrigue,4,5,4,droite,376,52,15/11/2021,21/11/2021,
EL4X_412.EL4X_412 WT b4,B4 - 5 - 5,Monoculture,Bien irrigue,4,5,5,gauche,412,49,17/11/2021,23/11/2021,
EL4X_412.EL4X_412 WT b4,B4 - 5 - 5,Monoculture,Bien irrigue,4,5,5,droite,412,48,17/11/2021,23/11/2021,
EL4X_114.EL4X_235 WT b4,B4 - 5 - 6,Couple,Bien irrigue,4,5,6,gauche,114,44,17/11/2021,23/11/2021,
EL4X_114.EL4X_235 WT b4,B4 - 5 - 6,Couple,Bien irrigue,4,5,6,droite,235,39,17/11/2021,23/11/2021,
EL4X_165.EL4X_412 WT b4,B4 - 5 - 7,Couple,Bien irrigue,4,5,7,gauche,165,43,NA,NA,
EL4X_165.EL4X_412 WT b4,B4 - 5 - 7,Couple,Bien irrigue,4,5,7,droite,412,50,17/11/2021,23/11/2021,
EL4X_130.EL4X_74 WT b4,B4 - 5 - 8,Couple,Bien irrigue,4,5,8,gauche,130,21,17/11/2021,23/11/2021,
EL4X_130.EL4X_74 WT b4,B4 - 5 - 8,Couple,Bien irrigue,4,5,8,droite,74,58,15/11/2021,21/11/2021,
EL4X_89.EL4X_265 WT b4,B4 - 5 - 9,Couple,Bien irrigue,4,5,9,gauche,89,45,17/11/2021,23/11/2021,
EL4X_89.EL4X_265 WT b4,B4 - 5 - 9,Couple,Bien irrigue,4,5,9,droite,265,41,17/11/2021,23/11/2021,
EL4X_329.EL4X_395 wt b5,B5 - 1 - 1,Monoculture,Contrainte hydrique,5,1,1,gauche,329,43,15/11/2021,21/11/2021,
EL4X_329.EL4X_395 wt b5,B5 - 1 - 1,Monoculture,Contrainte hydrique,5,1,1,droite,395,52,17/11/2021,23/11/2021,
EL4X_130.EL4X_130 wt b5,B5 - 1 - 2,Monoculture,Contrainte hydrique,5,1,2,gauche,130,35,15/11/2021,23/11/2021,
EL4X_130.EL4X_130 wt b5,B5 - 1 - 2,Monoculture,Contrainte hydrique,5,1,2,droite,130,43,17/11/2021,23/11/2021,
EL4X_89.EL4X_118 wt b5,B5 - 1 - 3,Couple,Contrainte hydrique,5,1,3,gauche,89,48,17/11/2021,21/11/2021,
EL4X_89.EL4X_118 wt b5,B5 - 1 - 3,Couple,Contrainte hydrique,5,1,3,droite,118,26,17/11/2021,NA,
EL4X_165.EL4X_165 wt b5,B5 - 1 - 4,Monoculture,Contrainte hydrique,5,1,4,gauche,165,44,15/11/2021,23/11/2021,
EL4X_165.EL4X_165 wt b5,B5 - 1 - 4,Monoculture,Contrainte hydrique,5,1,4,droite,165,49,15/11/2021,23/11/2021,
EL4X_165.EL4X_131 wt b5,B5 - 1 - 5,Couple,Contrainte hydrique,5,1,5,gauche,165,43,17/11/2021,21/11/2021,
EL4X_165.EL4X_131 wt b5,B5 - 1 - 5,Couple,Contrainte hydrique,5,1,5,droite,131,58,17/11/2021,23/11/2021,
EL4X_114.EL4X_235 wt b5,B5 - 1 - 6,Couple,Contrainte hydrique,5,1,6,gauche,114,40,NA,NA,
EL4X_114.EL4X_235 wt b5,B5 - 1 - 6,Couple,Contrainte hydrique,5,1,6,droite,235,40,17/11/2021,NA,
EL4X_89.EL4X_482 wt b5,B5 - 1 - 7,Couple,Contrainte hydrique,5,1,7,gauche,89,45,17/11/2021,23/11/2021,
EL4X_89.EL4X_482 wt b5,B5 - 1 - 7,Couple,Contrainte hydrique,5,1,7,droite,482,49,17/11/2021,21/11/2021,
EL4X_235.EL4X_235 wt b5,B5 - 1 - 8,Monoculture,Contrainte hydrique,5,1,8,gauche,235,47,17/11/2021,NA,
EL4X_235.EL4X_235 wt b5,B5 - 1 - 8,Monoculture,Contrainte hydrique,5,1,8,droite,235,39,17/11/2021,NA,
EL4X_89.EL4X_265 wt b5,B5 - 1 - 9,Couple,Contrainte hydrique,5,1,9,gauche,89,43,15/11/2021,21/11/2021,
EL4X_89.EL4X_265 wt b5,B5 - 1 - 9,Couple,Contrainte hydrique,5,1,9,droite,265,43,NA,NA,
EL4X_165.EL4X_412 wt b5,B5 - 2 - 1,Couple,Contrainte hydrique,5,2,1,gauche,165,42,17/11/2021,23/11/2021,
EL4X_165.EL4X_412 wt b5,B5 - 2 - 1,Couple,Contrainte hydrique,5,2,1,droite,412,55,17/11/2021,NA,
EL4X_265.EL4X_265 wt b5,B5 - 2 - 2,Monoculture,Contrainte hydrique,5,2,2,gauche,265,38,15/11/2021,23/11/2021,
