Couple,Position,Monoculture_Couple,Condition_hydrique,Bloc,Colonne,Ligne,Position_pots,plante_genotype,poids_graine,date_ligule_1,date_ligule_2,date_ligule_3
EL4X_165.EL4X_165 wt b1,B1 - 3 - 4,Monoculture,Contrainte hydrique,1,3,4,gauche,165,48,15/11/2021,21/11/2021,
EL4X_165.EL4X_165 wt b1,B1 - 3 - 4,Monoculture,Contrainte hydrique,1,3,4,droite,165,46,15/11/2021,21/11/2021,
EL4X_329.EL4X_114 wt b1,B1 - 3 - 5,Couple,Contrainte hydrique,1,3,5,gauche,329,47,17/11/2021,23/11/2021,
EL4X_329.EL4X_114 wt b1,B1 - 3 - 5,Couple,Contrainte hydrique,1,3,5,droite,114,40,15/11/2021,21/11/2021,
EL4X_395.EL4X_376 wt b1,B1 - 3 - 6,Couple,Contrainte hydrique,1,3,6,gauche,395,50,17/11/2021,23/11/2021,
EL4X_395.EL4X_376 wt b1,B1 - 3 - 6,Couple,Contrainte hydrique,1,3,6,droite,376,48,15/11/2021,21/11/2021,
EL4X_165.EL4X_74 wt b1,B1 - 3 - 7,Couple,Contrainte hydrique,1,3,7,gauche,165,49,15/11/2021,21/11/2021,
EL4X_165.EL4X_74 wt b1,B1 - 3 - 7,Couple,Contrainte hydrique,1,3,7,droite,74,40,15/11/2021,21/11/2021,
EL4X_482.EL4X_118 wt b1,B1 - 3 - 8,Couple,Contrainte hydrique,1,3,8,gauche,482,48,15/11/2021,21/11/2021,
EL4X_482.EL4X_118 wt b1,B1 - 3 - 8,Couple,Contrainte hydrique,1,3,8,droite,118,46,15/11/2021,21/11/2021,
EL4X_376.EL4X_235 wt b1,B1 - 3 - 9,Couple,Contrainte hydrique,1,3,9,gauche,376,34,17/11/2021,23/11/2021,
EL4X_376.EL4X_235 wt b1,B1 - 3 - 9,Couple,Contrainte hydrique,1,3,9,droite,235,48,17/11/2021,23/11/2021,
EL4X_89.EL4X_89 wt b1,B1 - 4 - 1,Monoculture,Contrainte hydrique,1,4,1,gauche,89,44,15/11/2021,23/11/2021,
EL4X_89.EL4X_89 wt b1,B1 - 4 - 1,Monoculture,Contrainte hydrique,1,4,1,droite,89,47,17/11/2021,21/11/2021,
EL4X_74.EL4X_74 wt b1,B1 - 4 - 2,Monoculture,Contrainte hydrique,1,4,2,gauche,74,46,15/11/2021,21/11/2021,
EL4X_74.EL4X_74 wt b1,B1 - 4 - 2,Monoculture,Contrainte hydrique,1,4,2,droite,74,50,15/11/2021,21/11/2021,
