Couple,Position,Position_pots,Monoculture_Couple,Condition_hydrique,RHT_rht,Bloc,Colonne,Ligne,plante_genotype,poids_graine,Longueur_feuille_2,Largeur_feuille_2,Nombre_de_feuille_ligulÃ.e,thallee,Biomasse_seche,vitesse_coleoptile_feuille_1,vitesse_coleoptile_feuille_2,vitesse_longueur_f1,vitesse_largeur_f1,voisin
EL4X_329.EL4X_235 wt b1,B1 - 4 - 9,droite,Couple,Contrainte hydrique,rht,1,4,9,235,39,219,5,2,0,83,24,25.5,25.5,0,329
EL4X_395.EL4X_114 wt b1,B1 - 5 - 1,droite,Couple,Contrainte hydrique,rht,1,5,1,114,47,188,4,3,0,70,42.5,55,57.5,2.5,395
EL4X_130.EL4X_131 wt b1,B1 - 5 - 2,droite,Couple,Contrainte hydrique,RHT,1,5,2,131,54,212,5,3,0,103,45,65,95,2,130
EL4X_376.EL4X_376 wt b1,B1 - 5 - 3,droite,Monoculture,Contrainte hydrique,rht,1,5,3,376,42,200,5,3,0,79,26.5,35.5,0.5,0,376
EL4X_165.EL4X_412 wt b1,B1 - 5 - 4,droite,Couple,Contrainte hydrique,RHT,1,5,4,412,55,233,4,3,0,101,40,90.5,87,2.5,165
EL4X_118.EL4X_118 wt b1,B1 - 5 - 5,droite,Monoculture,Contrainte hydrique,RHT,1,5,5,118,36,171,4,3,0,57,39.5,65.5,55,2,118
EL4X_131.EL4X_131 wt b1,B1 - 5 - 6,droite,Monoculture,Contrainte hydrique,RHT,1,5,6,131,62,222,5,3,0,101,41,80,90,2.5,131
EL4X_130.EL4X_412 wt b1,B1 - 5 - 7,droite,Couple,Contrainte hydrique,RHT,1,5,7,412,48,181,5,3,0,87,27.5,34,-2.5,0,130
EL4X_348.EL4X_348 wt b1,B1 - 5 - 8,droite,Monoculture,Contrainte hydrique,RHT,1,5,8,348,41,229,4,3,0,103,31,36.5,1.5,0,348
EL4X_131.EL4X_74 wt b1,B1 - 5 - 9,droite,Couple,Contrainte hydrique,RHT,1,5,9,74,45,226,3,3,0,84,26.5,34,0.5,0,131
EL4X_376.EL4X_235 WT b2,B2 - 1 - 1,droite,Couple,Bien irrigue,rht,2,1,10,235,47,210,5,3,1,85,31.75,58.5,63.5,2,376
EL4X_114.EL4X_376 WT b2,B2 - 1 - 2,droite,Couple,Bien irrigue,rht,2,1,11,376,49,235,4,3,0,93,47.75,77.5,103.5,2.5,114
EL4X_395.EL4X_114 WT b2,B2 - 1 - 3,droite,Couple,Bien irrigue,rht,2,1,12,114,47,200,3,2,0,42,16.5,50,33.5,1.5,395
EL4X_165.EL4X_412 WT b2,B2 - 1 - 4,droite,Couple,Bien irrigue,RHT,2,1,13,412,54,194,4,2,0,63,45.5,55,57,2.5,165
EL4X_329.EL4X_395 WT b2,B2 - 1 - 5,droite,Couple,Bien irrigue,rht,2,1,14,395,52,161,4,3,0,79,NA,26.5,1,0,329
EL4X_482.EL4X_348 WT b2,B2 - 1 - 6,droite,Couple,Bien irrigue,RHT,2,1,15,348,50,221,4,3,0,95,35.5,37.5,0.5,0,482
EL4X_114.EL4X_114 WT b2,B2 - 1 - 7,droite,Monoculture,Bien irrigue,rht,2,1,16,114,47,204,5,3,0,77,32.75,62.5,68.5,2.5,114
