Couple,Position,Position_pots,Monoculture_Couple,Condition_hydrique,RHT_rht,Bloc,Colonne,Ligne,plante_genotype,poids_graine,Longueur_feuille_2,Largeur_feuille_2,Nombre_de_feuille_ligulÃ.e,thallee,Biomasse_seche,vitesse_coleoptile_feuille_1,vitesse_coleoptile_feuille_2,vitesse_longueur_f1,vitesse_largeur_f1,voisin
EL4X_89.EL4X_118 WT b4,B4 - 3 - 3,droite,Couple,Bien irrigue,RHT,4,8,12,118,32,186,5,2,0,63,29.75,66.5,65,2,89
EL4X_235.EL4X_235 WT b4,B4 - 3 - 4,droite,Monoculture,Bien irrigue,rht,4,8,13,235,40,211,4,2,0,88,30.25,66,59,2.5,235
EL4X_265.EL4X_118 WT b4,B4 - 3 - 5,droite,Couple,Bien irrigue,RHT,4,8,14,118,30,181,4,3,0,59,22,30,1,0.5,265
EL4X_165.EL4X_131 WT b4,B4 - 3 - 6,droite,Couple,Bien irrigue,RHT,4,8,15,131,43,219,4,2,0,69,32.5,54,71.5,2.5,165
EL4X_118.EL4X_348 WT b4,B4 - 3 - 7,droite,Couple,Bien irrigue,RHT,4,8,16,348,49,216,4,3,0,95,37.5,33.5,3.5,-0.5,118
EL4X_89.EL4X_348 WT b4,B4 - 3 - 8,droite,Couple,Bien irrigue,RHT,4,8,17,348,47,210,4,3,0,92,33.5,32.5,-2,0.5,89
EL4X_130.EL4X_130 WT b4,B4 - 3 - 9,droite,Monoculture,Bien irrigue,RHT,4,8,18,130,53,207,4,3,0,86,32,32.5,-3.5,0,130
EL4X_329.EL4X_329 WT b4,B4 - 4 - 1,droite,Monoculture,Bien irrigue,rht,4,9,10,329,55,170,2,3,0,62,19.75,67.5,36.5,2,329
EL4X_482.EL4X_265 WT b4,B4 - 4 - 2,droite,Couple,Bien irrigue,RHT,4,9,11,265,47,200,4,3,0,79,NA,11,14.5,0,482
EL4X_482.EL4X_118 WT b4,B4 - 4 - 3,droite,Couple,Bien irrigue,RHT,4,9,12,118,27,195,3,2,0,45,31,51.5,67,2,482
EL4X_329.EL4X_114 WT b4,B4 - 4 - 4,droite,Couple,Bien irrigue,rht,4,9,13,114,46,194,4,2,0,45,25,58,45,1.5,329
EL4X_482.EL4X_348 WT b4,B4 - 4 - 5,droite,Couple,Bien irrigue,RHT,4,9,14,348,42,173,3,3,0,59,20,30.5,-6,0,482
EL4X_376.EL4X_235 WT b4,B4 - 4 - 6,droite,Couple,Bien irrigue,rht,4,9,15,235,38,176,4,3,0,63,29.75,58,56,2,376
EL4X_348.EL4X_348 WT b4,B4 - 4 - 7,droite,Monoculture,Bien irrigue,RHT,4,9,16,348,47,177,4,3,0,55,16.5,36,-0.5,0,348
EL4X_412.EL4X_74 WT b4,B4 - 4 - 8,droite,Couple,Bien irrigue,RHT,4,9,17,74,47,225,4,3,0,89,29.5,33.5,-1.5,-0.5,412
EL4X_114.EL4X_114 WT b4,B4 - 4 - 9,droite,Monoculture,Bien irrigue,rht,4,9,18,114,45,216,5,3,0,73,31.75,77,59,1.5,114
EL4X_376.EL4X_376 WT b4,B4 - 5 - 1,droite,Monoculture,Bien irrigue,rht,4,10,10,376,56,215,4,3,0,100,36,36,-0.5,0,376
EL4X_165.EL4X_165 WT b4,B4 - 5 - 2,droite,Monoculture,Bien irrigue,RHT,4,10,11,165,46,204,4,3,0,100,32.5,37,-2.5,0,165
EL4X_265.EL4X_265 WT b4,B4 - 5 - 3,droite,Monoculture,Bien irrigue,RHT,4,10,12,265,38,226,4,3,0,87,29,46.5,0,0,265
EL4X_395.EL4X_376 WT b4,B4 - 5 - 4,droite,Couple,Bien irrigue,rht,4,10,13,376,52,237,5,3,0,124,37,42.5,0,-0.5,395
EL4X_412.EL4X_412 WT b4,B4 - 5 - 5,droite,Monoculture,Bien irrigue,RHT,4,10,14,412,48,192,2,3,0,77,30.25,65,52.5,2,412
EL4X_114.EL4X_235 WT b4,B4 - 5 - 6,droite,Couple,Bien irrigue,rht,4,10,15,235,39,220,5,2,0,59,31.5,52.5,67.5,2,114
EL4X_165.EL4X_412 WT b4,B4 - 5 - 7,droite,Couple,Bien irrigue,RHT,4,10,16,412,50,198,5,2,0,78,36.25,65,65,2.5,165
EL4X_130.EL4X_74 WT b4,B4 - 5 - 8,droite,Couple,Bien irrigue,RHT,4,10,17,74,58,238,4,3,0,110,31.5,41.5,0,0,130
EL4X_89.EL4X_265 WT b4,B4 - 5 - 9,droite,Couple,Bien irrigue,RHT,4,10,18,265,41,227,3,3,0,70,34.75,81.5,66,2.5,89
EL4X_329.EL4X_395 wt b5,B5 - 1 - 1,droite,Monoculture,Contrainte hydrique,rht,5,11,1,395,52,240,4,3,0,99,43.75,74,85.5,2.5,329
EL4X_130.EL4X_130 wt b5,B5 - 1 - 2,droite,Monoculture,Contrainte hydrique,RHT,5,11,2,130,43,190,4,3,0,66,34.5,57.5,76.5,1.5,130
EL4X_89.EL4X_118 wt b5,B5 - 1 - 3,droite,Couple,Contrainte hydrique,RHT,5,11,3,118,26,204,3,2,0,43,24.5,53,54.5,2,89
EL4X_165.EL4X_165 wt b5,B5 - 1 - 4,droite,Monoculture,Contrainte hydrique,RHT,5,11,4,165,49,158,4,3,0,62,22.5,27.5,-1,0.5,165
EL4X_165.EL4X_131 wt b5,B5 - 1 - 5,droite,Couple,Contrainte hydrique,RHT,5,11,5,131,58,235,4,2,0,65,59,54,67.5,2,165
EL4X_114.EL4X_235 wt b5,B5 - 1 - 6,droite,Couple,Contrainte hydrique,rht,5,11,6,235,40,221,4,2,0,58,32.75,57.5,53,2,114
EL4X_89.EL4X_482 wt b5,B5 - 1 - 7,droite,Couple,Contrainte hydrique,rht,5,11,7,482,49,225,4,3,0,73,32.25,95.5,54.5,2,89
EL4X_235.EL4X_235 wt b5,B5 - 1 - 8,droite,Monoculture,Contrainte hydrique,rht,5,11,8,235,39,220,4,2,0,56,26.5,50.5,59,2,235
EL4X_89.EL4X_265 wt b5,B5 - 1 - 9,droite,Couple,Contrainte hydrique,RHT,5,11,9,265,43,NA,NA,NA,0,NA,NA,NA,NA,NA,89
EL4X_165.EL4X_412 wt b5,B5 - 2 - 1,droite,Couple,Contrainte hydrique,RHT,5,12,1,412,55,213,4,2,0,79,36.25,53,75.5,2,165
EL4X_265.EL4X_265 wt b5,B5 - 2 - 2,droite,Monoculture,Contrainte hydrique,RHT,5,12,2,265,47,210,3,2,0,59,43.5,54,50,2.5,265
EL4X_165.EL4X_130 wt b5,B5 - 2 - 3,droite,Couple,Contrainte hydrique,RHT,5,12,3,130,40,205,3,2,0,59,34.75,1.5,63.5,2,165
EL4X_130.EL4X_74 wt b5,B5 - 2 - 4,droite,Couple,Contrainte hydrique,RHT,5,12,4,74,45,223,3,3,0,75,29.5,30,-4.5,0,130
EL4X_74.EL4X_74 wt b5,B5 - 2 - 5,droite,Monoculture,Contrainte hydrique,RHT,5,12,5,74,45,201,4,3,0,79,15.5,35.5,-25.5,0,74
EL4X_131.EL4X_74 wt b5,B5 - 2 - 6,droite,Couple,Contrainte hydrique,RHT,5,12,6,74,44,218,4,3,0,90,24.5,33,6,0.5,131
EL4X_265.EL4X_118 wt b5,B5 - 2 - 7,droite,Couple,Contrainte hydrique,RHT,5,12,7,118,38,209,4,2,0,57,27.5,25,0,0,265
EL4X_89.EL4X_348 wt b5,B5 - 2 - 8,droite,Couple,Contrainte hydrique,RHT,5,12,8,348,42,195,4,3,0,82,23,28,-1.5,0,89
EL4X_412.EL4X_131 wt b5,B5 - 2 - 9,droite,Couple,Contrainte hydrique,RHT,5,12,9,131,61,205,4,3,0,79,23.5,64,65.5,2,412
EL4X_130.EL4X_131 wt b5,B5 - 3 - 1,droite,Couple,Contrainte hydrique,RHT,5,13,1,131,62,223,5,3,0,103,41.75,61.5,88,2.5,130
EL4X_482.EL4X_348 wt b5,B5 - 3 - 2,droite,Couple,Contrainte hydrique,RHT,5,13,2,348,46,212,4,3,0,90,28.5,35.5,-1,0,482
EL4X_482.EL4X_265 wt b5,B5 - 3 - 3,droite,Couple,Contrainte hydrique,RHT,5,13,3,265,44,243,4,2,0,86,29.5,31,4,0.5,482
EL4X_395.EL4X_114 wt b5,B5 - 3 - 4,droite,Couple,Contrainte hydrique,rht,5,13,4,114,41,222,4,2,0,50,21,45,44,2,395
EL4X_329.EL4X_376 wt b5,B5 - 3 - 5,droite,Couple,Contrainte hydrique,rht,5,13,5,376,56,NA,NA,NA,0,113,20.5,3,2.5,0,329
EL4X_130.EL4X_412 wt b5,B5 - 3 - 6,droite,Couple,Contrainte hydrique,RHT,5,13,6,412,54,213,5,3,0,101,30.5,37.5,-2.5,2.5,130
EL4X_376.EL4X_376 wt b5,B5 - 3 - 7,droite,Monoculture,Contrainte hydrique,rht,5,13,7,376,52,247,3,2,0,51,31.25,58,63,1.5,376
EL4X_376.EL4X_235 wt b5,B5 - 3 - 8,droite,Couple,Contrainte hydrique,rht,5,13,8,235,43,211,4,3,0,75,25,32,3,0,376
EL4X_165.EL4X_74 wt b5,B5 - 4 - 2,droite,Couple,Contrainte hydrique,RHT,5,14,2,74,50,204,4,3,0,95,22,34.5,2.5,0.5,165
EL4X_114.EL4X_114 wt b5,B5 - 4 - 3,droite,Monoculture,Contrainte hydrique,rht,5,14,3,114,47,NA,NA,NA,0,3,6.666666667,NA,NA,NA,114
EL4X_482.EL4X_482 wt b5,B5 - 4 - 4,droite,Monoculture,Contrainte hydrique,rht,5,14,4,482,61,236,5,3,0,104,29.5,39,-2.5,-0.5,482
EL4X_329.EL4X_329 wt b5,B5 - 4 - 5,droite,Monoculture,Contrainte hydrique,rht,5,14,5,329,51,112,3,2,0,26,13.25,25.5,22,1.5,329
EL4X_114.EL4X_376 wt b5,B5 - 4 - 6,droite,Couple,Contrainte hydrique,rht,5,14,6,376,69,214,6,3,1,108,48.5,75,85.5,2.5,114
EL4X_118.EL4X_348 wt b5,B5 - 4 - 7,droite,Couple,Contrainte hydrique,RHT,5,14,7,348,42,196,4,3,0,87,26.5,31.5,-2,0,118
EL4X_482.EL4X_118 wt b5,B5 - 4 - 8,droite,Couple,Contrainte hydrique,RHT,5,14,8,118,35,178,4,3,0,69,30,72,60.5,2,482
EL4X_412.EL4X_412 wt b5,B5 - 4 - 9,droite,Monoculture,Contrainte hydrique,RHT,5,14,9,412,43,199,4,2,0,NA,38.5,52,46,2,412
EL4X_395.EL4X_235 wt b5,B5 - 5 - 1,droite,Couple,Contrainte hydrique,rht,5,15,1,235,42,203,5,2,0,68,22,23,3.5,0.5,395
EL4X_348.EL4X_348 wt b5,B5 - 5 - 2,droite,Monoculture,Contrainte hydrique,RHT,5,15,2,348,42,205,4,3,0,107,28,34.5,-3,0,348
EL4X_412.EL4X_74 wt b5,B5 - 5 - 3,droite,Couple,Contrainte hydrique,RHT,5,15,3,74,46,224,4,3,0,101,28,33.5,0,0.5,412
EL4X_329.EL4X_114 wt b5,B5 - 5 - 4,droite,Couple,Contrainte hydrique,rht,5,15,4,114,44,207,4,2,0,58,43,52,53,2,329
EL4X_395.EL4X_376 wt b5,B5 - 5 - 5,droite,Couple,Contrainte hydrique,rht,5,15,5,376,40,181,4,3,0,57,NA,30,-2.5,0,395
EL4X_89.EL4X_89 wt b5,B5 - 5 - 6,droite,Monoculture,Contrainte hydrique,rht,5,15,6,89,47,194,5,3,1,119,15.5,42.5,-7,-0.5,89
EL4X_395.EL4X_395 wt b5,B5 - 5 - 7,droite,Monoculture,Contrainte hydrique,rht,5,15,7,395,49,254,4,3,0,94,40.75,78,76,2,395
EL4X_329.EL4X_235 wt b5,B5 - 5 - 8,droite,Couple,Contrainte hydrique,rht,5,15,8,235,47,164,4,2,0,48,18.75,49.5,37.5,1.5,329
EL4X_265.EL4X_348 wt b5,B5 - 5 - 9,droite,Couple,Contrainte hydrique,RHT,6,15,18,348,42,191,4,3,0,76,21,28.5,-1,0,265
EL4X_89.EL4X_265 WT b6,B6 - 1 - 1,droite,Couple,Bien irrigue,RHT,6,11,10,265,41,188,4,3,0,83,33,33,2,0,89
EL4X_329.EL4X_376 WT b6,B6 - 1 - 2,droite,Couple,Bien irrigue,rht,6,11,11,376,49,234,5,3,0,95,49.5,75.5,105.5,2.5,329
EL4X_89.EL4X_89 WT b6,B6 - 1 - 3,droite,Monoculture,Bien irrigue,rht,6,11,12,89,40,198,5,3,0,94,38.75,77.5,79.5,2.5,89
EL4X_265.EL4X_348 WT b6,B6 - 1 - 4,droite,Couple,Bien irrigue,RHT,6,11,13,348,47,194,3,3,0,76,24.5,40,-0.5,0.5,265
EL4X_118.EL4X_118 WT b6,B6 - 1 - 5,droite,Monoculture,Bien irrigue,RHT,6,11,14,118,45,187,4,3,0,68,28,76,45.5,2,118
EL4X_131.EL4X_131 WT b6,B6 - 1 - 6,droite,Monoculture,Bien irrigue,RHT,6,11,15,131,58,237,5,2,0,79,40.25,65.5,93,2,131
EL4X_412.EL4X_131 WT b6,B6 - 1 - 7,droite,Couple,Bien irrigue,RHT,6,11,16,131,50,209,5,2,0,79,33.75,50.5,70.5,2,412
EL4X_131.EL4X_74 WT b6,B6 - 1 - 8,droite,Couple,Bien irrigue,RHT,6,11,17,74,48,212,4,3,0,96,27.5,34,-6.5,0,131
EL4X_114.EL4X_114 WT b6,B6 - 1 - 9,droite,Monoculture,Bien irrigue,rht,6,11,18,114,41,235,4,2,0,59,26.83333333,NA,NA,NA,114
EL4X_265.EL4X_118 WT b6,B6 - 2 - 1,droite,Couple,Bien irrigue,RHT,6,12,10,118,31,208,4,2,0,70,23.5,52,-1.5,-0.5,265
EL4X_118.EL4X_348 WT b6,B6 - 2 - 2,droite,Couple,Bien irrigue,RHT,6,12,11,348,43,211,3,3,0,88,26,31,6.5,0,118
EL4X_482.EL4X_118 WT b6,B6 - 2 - 3,droite,Couple,Bien irrigue,RHT,6,12,12,118,30,205,3,2,0,48,23.5,54,42.5,2,482
EL4X_114.EL4X_235 WT b6,B6 - 2 - 4,droite,Couple,Bien irrigue,rht,6,12,13,235,43,207,5,3,0,91,36,63,76,2.5,114
EL4X_376.EL4X_376 WT b6,B6 - 2 - 5,droite,Monoculture,Bien irrigue,rht,6,12,14,376,54,234,5,3,0,91,34.5,37.5,-0.5,0,376
EL4X_395.EL4X_114 WT b6,B6 - 2 - 6,droite,Couple,Bien irrigue,rht,6,12,15,114,43,217,5,3,0,76,30.75,66,61.5,2,395
EL4X_348.EL4X_348 WT b6,B6 - 2 - 9,droite,Monoculture,Bien irrigue,RHT,6,12,18,348,42,202,4,3,0,84,25.5,29.5,-0.5,0,348
EL4X_235.EL4X_235 WT b6,B6 - 3 - 1,droite,Monoculture,Bien irrigue,rht,6,13,10,235,43,191,4,2,0,45,23,40.5,46,2,235
EL4X_165.EL4X_130 WT b6,B6 - 3 - 2,droite,Couple,Bien irrigue,RHT,6,13,11,130,52,207,4,3,0,NA,33,43.5,-1.5,0,165
EL4X_482.EL4X_482 WT b6,B6 - 3 - 3,droite,Monoculture,Bien irrigue,rht,6,13,12,482,50,239,4,3,0,88,40.5,97.5,74.5,2.5,482
EL4X_412.EL4X_74 WT b6,B6 - 3 - 4,droite,Couple,Bien irrigue,RHT,6,13,13,74,43,226,4,3,0,81,34.25,91.5,72.5,2,412
EL4X_395.EL4X_235 WT b6,B6 - 3 - 5,droite,Couple,Bien irrigue,rht,6,13,14,235,39,229,5,3,0,78,31.5,72,65,2.5,395
EL4X_165.EL4X_131 WT b6,B6 - 3 - 6,droite,Couple,Bien irrigue,RHT,6,13,15,131,45,133,4,2,0,72,32.75,64,66.5,2,165
EL4X_329.EL4X_395 WT b6,B6 - 3 - 7,droite,Couple,Bien irrigue,rht,6,13,16,395,55,229,4,2,0,47,16.66666667,NA,NA,NA,329
EL4X_329.EL4X_114 WT b6,B6 - 3 - 8,droite,Couple,Bien irrigue,rht,6,13,17,114,45,191,4,3,0,65,47.5,53,63,2.5,329
EL4X_130.EL4X_130 WT b6,B6 - 3 - 9,droite,Monoculture,Bien irrigue,RHT,6,13,18,130,40,213,3,2,0,57,23.5,NA,-20,-0.5,130
EL4X_130.EL4X_131 WT b6,B6 - 4 - 1,droite,Couple,Bien irrigue,RHT,6,14,10,131,52,220,4,3,0,51,29.5,8.5,58.5,2,130
EL4X_89.EL4X_118 WT b6,B6 - 4 - 2,droite,Couple,Bien irrigue,RHT,6,14,11,118,40,195,4,3,0,86,32.5,73,61,2.5,89
EL4X_412.EL4X_412 WT b6,B6 - 4 - 3,droite,Monoculture,Bien irrigue,RHT,6,14,12,412,51,179,4,3,0,59,42.5,64,49.5,2,412
EL4X_89.EL4X_348 WT b6,B6 - 4 - 4,droite,Couple,Bien irrigue,RHT,6,14,13,348,44,NA,NA,NA,0,0,0,NA,NA,NA,89
EL4X_89.EL4X_482 WT b6,B6 - 4 - 5,droite,Couple,Bien irrigue,rht,6,14,14,482,37,164,3,3,0,53,18,35,-14.5,0,89
EL4X_395.EL4X_376 WT b6,B6 - 4 - 6,droite,Couple,Bien irrigue,rht,6,14,15,376,56,267,4,3,0,62,39.5,31.5,6,0,395
EL4X_165.EL4X_165 WT b6,B6 - 4 - 7,droite,Monoculture,Bien irrigue,RHT,6,14,16,165,41,244,3,2,0,50,30.75,63.5,104,2,165
EL4X_114.EL4X_376 WT b6,B6 - 4 - 8,droite,Couple,Bien irrigue,rht,6,14,17,376,59,NA,NA,NA,0,20,50,50.5,72.5,1.5,114
EL4X_395.EL4X_395 WT b6,B6 - 4 - 9,droite,Monoculture,Bien irrigue,rht,6,14,18,395,51,193,3,2,0,32,13.83333333,NA,NA,NA,395
EL4X_376.EL4X_235 WT b6,B6 - 5 - 1,droite,Couple,Bien irrigue,rht,6,15,10,235,48,167,3,2,0,36,20,38.5,35.5,1.5,376
EL4X_329.EL4X_329 WT b6,B6 - 5 - 2,droite,Monoculture,Bien irrigue,rht,6,15,11,329,33,165,4,3,0,71,23.5,27.5,0.5,0,329
EL4X_329.EL4X_235 WT b6,B6 - 5 - 3,droite,Couple,Bien irrigue,rht,6,15,12,235,33,205,3,3,0,76,10,70,34,-0.5,329
EL4X_165.EL4X_74 WT b6,B6 - 5 - 4,droite,Couple,Bien irrigue,RHT,6,15,13,74,45,95,4,3,0,32,23,-18.5,-34,-1.5,165
EL4X_482.EL4X_265 WT b6,B6 - 5 - 5,droite,Couple,Bien irrigue,RHT,6,15,14,265,44,220,3,3,0,82,25,38,-1.5,0,482
EL4X_482.EL4X_348 WT b6,B6 - 5 - 6,droite,Couple,Bien irrigue,RHT,6,15,15,348,44,232,4,3,0,96,27.5,34.5,0.5,0.5,482
EL4X_74.EL4X_74 WT b6,B6 - 5 - 7,droite,Monoculture,Bien irrigue,RHT,6,15,16,74,30,226,4,3,0,85,29.5,-55.5,0.5,0,74
EL4X_265.EL4X_265 WT b6,B6 - 5 - 8,droite,Monoculture,Bien irrigue,RHT,6,15,17,265,37,230,4,2,0,72,37.25,74.5,74.5,2,265
EL4X_130.EL4X_74 WT b6,B6 - 5 - 9,droite,Couple,Bien irrigue,RHT,6,15,18,74,42,NA,4,3,0,55,23.5,29.5,-2.5,0.5,130
EL4X_265.EL4X_265 wt b1,B1 - 1 - 1,gauche,Monoculture,Contrainte hydrique,RHT,1,1,1,265,40,209,4,3,0,70,28.5,38.5,0,0.5,265
EL4X_118.EL4X_348 wt b1,B1 - 1 - 2,gauche,Couple,Contrainte hydrique,RHT,1,1,2,118,26,207,4,2,0,55,29.25,68,60,2,348
EL4X_412.EL4X_412 wt b1,B1 - 1 - 3,gauche,Couple,Contrainte hydrique,RHT,1,1,3,412,47,206,5,2,0,73,27,33.5,2,0.5,412
EL4X_265.EL4X_118 wt b1,B1 - 1 - 4,gauche,Couple,Contrainte hydrique,RHT,1,1,4,265,47,209,3,2,0,51,21,27,0.5,0,118
EL4X_329.EL4X_329 wt b1,B1 - 1 - 5,gauche,Monoculture,Contrainte hydrique,rht,1,1,5,329,45,166,4,3,0,66,28,31,2.5,0,329
EL4X_329.EL4X_395 wt b1,B1 - 1 - 6,gauche,Couple,Contrainte hydrique,rht,1,1,6,329,51,201,4,3,0,71,25.5,42,1,0.5,395
EL4X_265.EL4X_348 wt b1,B1 - 1 - 7,gauche,Couple,Contrainte hydrique,RHT,1,1,7,265,45,154,4,3,0,62,18,29,1,0.5,348
EL4X_395.EL4X_395 wt b1,B1 - 1 - 8,gauche,Monoculture,Contrainte hydrique,rht,1,1,8,395,56,222,4,3,0,63,30.25,72,55,2,395
EL4X_165.EL4X_131 wt b1,B1 - 1 - 9,gauche,Couple,Contrainte hydrique,RHT,1,1,9,165,56,157,3,2,0,24,18,33.5,41,1.5,131
EL4X_89.EL4X_348 wt b1,B1 - 2 - 1,gauche,Couple,Contrainte hydrique,rht,1,2,1,89,48,210,6,3,1,107,NA,37.5,1,0,348
EL4X_482.EL4X_265 wt b1,B1 - 2 - 2,gauche,Couple,Contrainte hydrique,rht,1,2,2,482,51,232,5,3,0,90,33.5,35,-0.5,0,265
EL4X_114.EL4X_376 wt b1,B1 - 2 - 3,gauche,Couple,Contrainte hydrique,rht,1,2,3,114,44,258,5,3,0,113,42.5,41.5,-1,0,376
EL4X_89.EL4X_265 wt b1,B1 - 2 - 4,gauche,Couple,Contrainte hydrique,rht,1,2,4,89,46,254,6,2,1,84,32.25,65,61,2.5,265
EL4X_114.EL4X_114 wt b1,B1 - 2 - 5,gauche,Monoculture,Contrainte hydrique,rht,1,2,5,114,47,181,4,3,0,57,22.75,56,61,2,114
EL4X_89.EL4X_118 wt b1,B1 - 2 - 6,gauche,Couple,Contrainte hydrique,rht,1,2,6,89,43,230,5,3,0,69,34.25,75,67.5,2,118
EL4X_482.EL4X_348 wt b1,B1 - 2 - 7,gauche,Couple,Contrainte hydrique,rht,1,2,7,482,53,88,4,3,0,49,13.5,27,1,0.5,348
EL4X_412.EL4X_131 wt b1,B1 - 2 - 8,gauche,Couple,Contrainte hydrique,RHT,1,2,8,412,55,185,4,3,0,62,23,33.5,0.5,0,131
EL4X_130.EL4X_74 wt b1,B1 - 2 - 9,gauche,Couple,Contrainte hydrique,RHT,1,2,9,130,66,203,5,3,0,78,35.5,32.5,-1,0,74
EL4X_395.EL4X_235 wt b1,B1 - 3 - 1,gauche,Couple,Contrainte hydrique,rht,1,3,1,395,56,218,5,3,0,81,45.75,65.5,87.5,2,235
EL4X_482.EL4X_482 wt b1,B1 - 3 - 2,gauche,Monoculture,Contrainte hydrique,rht,1,3,2,482,63,198,5,3,0,84,NA,9,1,0.5,482
EL4X_235.EL4X_235 wt b1,B1 - 3 - 3,gauche,Monoculture,Contrainte hydrique,rht,1,3,3,235,43,214,5,2,0,68,32.5,61,67.5,2.5,235
EL4X_165.EL4X_165 wt b1,B1 - 3 - 4,gauche,Monoculture,Contrainte hydrique,RHT,1,3,4,165,48,214,5,3,0,89,33.5,31.5,-0.5,0,165
EL4X_329.EL4X_114 wt b1,B1 - 3 - 5,gauche,Couple,Contrainte hydrique,rht,1,3,5,329,47,211,4,2,0,54,23.25,57,55,2,114
EL4X_395.EL4X_376 wt b1,B1 - 3 - 6,gauche,Couple,Contrainte hydrique,rht,1,3,6,395,50,236,3,2,0,54,24,70,40,2,376
EL4X_165.EL4X_74 wt b1,B1 - 3 - 7,gauche,Couple,Contrainte hydrique,RHT,1,3,7,165,49,150,2,2,0,33,22.5,NA,2.5,0,74
EL4X_482.EL4X_118 wt b1,B1 - 3 - 8,gauche,Couple,Contrainte hydrique,rht,1,3,8,482,48,250,4,3,0,87,27,29,0.5,0,118
EL4X_376.EL4X_235 wt b1,B1 - 3 - 9,gauche,Couple,Contrainte hydrique,rht,1,3,9,376,34,215,5,3,0,79,44,61.5,92,2.5,235
EL4X_89.EL4X_89 wt b1,B1 - 4 - 1,gauche,Monoculture,Contrainte hydrique,rht,1,4,1,89,44,177,3,2,0,44,22.75,4,-21.5,0,89
EL4X_74.EL4X_74 wt b1,B1 - 4 - 2,gauche,Monoculture,Contrainte hydrique,RHT,1,4,2,74,46,201,4,3,0,87,28,37,0,0,74
EL4X_114.EL4X_235 wt b1,B1 - 4 - 3,gauche,Couple,Contrainte hydrique,rht,1,4,3,114,41,218,5,3,0,86,35.5,80,75,2.5,235
EL4X_89.EL4X_482 wt b1,B1 - 4 - 4,gauche,Couple,Contrainte hydrique,rht,1,4,4,89,45,217,5,3,0,96,39.75,62.5,83,2.5,482
EL4X_329.EL4X_376 wt b1,B1 - 4 - 5,gauche,Couple,Contrainte hydrique,rht,1,4,5,329,51,229,4,3,0,102,34.5,32.5,1,-0.5,376
EL4X_130.EL4X_130 wt b1,B1 - 4 - 6,gauche,Monoculture,Contrainte hydrique,RHT,1,4,6,130,47,200,4,3,0,70,30.5,29.5,0,0,130
EL4X_165.EL4X_130 wt b1,B1 - 4 - 7,gauche,Couple,Contrainte hydrique,RHT,1,4,7,165,42,206,5,3,0,66,35.5,31,16.5,0.5,130
EL4X_412.EL4X_74 wt b1,B1 - 4 - 8,gauche,Couple,Contrainte hydrique,RHT,1,4,8,412,54,192,5,3,0,72,34.25,73.5,67.5,2.5,74
EL4X_329.EL4X_235 wt b1,B1 - 4 - 9,gauche,Couple,Contrainte hydrique,rht,1,4,9,329,47,184,4,3,0,74,35.5,82.5,44,2,235
EL4X_395.EL4X_114 wt b1,B1 - 5 - 1,gauche,Couple,Contrainte hydrique,rht,1,5,1,395,52,202,4,2,0,67,48,53,59,2,114
EL4X_130.EL4X_131 wt b1,B1 - 5 - 2,gauche,Couple,Contrainte hydrique,RHT,1,5,2,130,22,191,4,2,0,47,32.25,46.5,81.5,1.5,131
EL4X_376.EL4X_376 wt b1,B1 - 5 - 3,gauche,Monoculture,Contrainte hydrique,rht,1,5,3,376,62,241,5,3,0,95,31.5,43,0.5,0,376
EL4X_165.EL4X_412 wt b1,B1 - 5 - 4,gauche,Couple,Contrainte hydrique,RHT,1,5,4,165,42,192,5,2,0,70,35.5,67.5,66.5,2.5,412
EL4X_118.EL4X_118 wt b1,B1 - 5 - 5,gauche,Monoculture,Contrainte hydrique,RHT,1,5,5,118,43,199,4,2,0,77,35,75,72,2,118
EL4X_131.EL4X_131 wt b1,B1 - 5 - 6,gauche,Monoculture,Contrainte hydrique,RHT,1,5,6,131,56,192,5,3,0,101,39.5,70,87,2.5,131
EL4X_130.EL4X_412 wt b1,B1 - 5 - 7,gauche,Couple,Contrainte hydrique,RHT,1,5,7,130,28,211,4,2,0,56,33.5,31,0,0.5,412
EL4X_348.EL4X_348 wt b1,B1 - 5 - 8,gauche,Monoculture,Contrainte hydrique,RHT,1,5,8,348,31,221,4,3,0,84,29.5,34,1,0,348
EL4X_131.EL4X_74 wt b1,B1 - 5 - 9,gauche,Couple,Contrainte hydrique,RHT,1,5,9,131,69,225,5,3,0,114,43.75,75,97.5,3,74
EL4X_376.EL4X_235 WT b2,B2 - 1 - 1,gauche,Couple,Bien irrigue,rht,2,1,10,376,67,215,4,3,0,117,30.5,39.5,2.5,0.5,235
EL4X_114.EL4X_376 WT b2,B2 - 1 - 2,gauche,Couple,Bien irrigue,rht,2,1,11,114,41,217,4,4,0,65,34,62.5,68,2,376
EL4X_395.EL4X_114 WT b2,B2 - 1 - 3,gauche,Couple,Bien irrigue,rht,2,1,12,395,52,181,4,3,0,57,30.5,52.5,62.5,2,114
EL4X_165.EL4X_412 WT b2,B2 - 1 - 4,gauche,Couple,Bien irrigue,RHT,2,1,13,165,51,239,5,2,0,103,32,47.5,0,0,412
EL4X_329.EL4X_395 WT b2,B2 - 1 - 5,gauche,Couple,Bien irrigue,rht,2,1,14,329,50,NA,NA,NA,0,NA,NA,NA,NA,NA,395
EL4X_482.EL4X_348 WT b2,B2 - 1 - 6,gauche,Couple,Bien irrigue,rht,2,1,15,482,49,121,4,3,0,60,NA,29,-2,-0.5,348
