Couple,Position,Monoculture_Couple,Condition_hydrique,Bloc,Colonne,Ligne,Position_pots,plante_genotype,poids_graine,Longueur_feuille_1,Largueur_feuille_1,taille_coleotile_feuille_1,taille_coleotile_feuille_2
EL4X_395.EL4X_376 wt b1,B1 - 3 - 6,Couple,Contrainte hydrique,1,3,6,droite,376,48,136,5,,160
EL4X_165.EL4X_74 wt b1,B1 - 3 - 7,Couple,Contrainte hydrique,1,3,7,gauche,165,49,100,3,,114
EL4X_165.EL4X_74 wt b1,B1 - 3 - 7,Couple,Contrainte hydrique,1,3,7,droite,74,40,135,4,,194
EL4X_482.EL4X_118 wt b1,B1 - 3 - 8,Couple,Contrainte hydrique,1,3,8,gauche,482,48,132,4,,190
EL4X_482.EL4X_118 wt b1,B1 - 3 - 8,Couple,Contrainte hydrique,1,3,8,droite,118,46,96,4,,164
EL4X_376.EL4X_235 wt b1,B1 - 3 - 9,Couple,Contrainte hydrique,1,3,9,gauche,376,34,184,5,,123
EL4X_376.EL4X_235 wt b1,B1 - 3 - 9,Couple,Contrainte hydrique,1,3,9,droite,235,48,125,4,,164
EL4X_89.EL4X_89 wt b1,B1 - 4 - 1,Monoculture,Contrainte hydrique,1,4,1,gauche,89,44,87,4,,100
EL4X_89.EL4X_89 wt b1,B1 - 4 - 1,Monoculture,Contrainte hydrique,1,4,1,droite,89,47,133,4,,177
EL4X_74.EL4X_74 wt b1,B1 - 4 - 2,Monoculture,Contrainte hydrique,1,4,2,gauche,74,46,134,4,,195
EL4X_74.EL4X_74 wt b1,B1 - 4 - 2,Monoculture,Contrainte hydrique,1,4,2,droite,74,50,144,4,,222
EL4X_114.EL4X_235 wt b1,B1 - 4 - 3,Couple,Contrainte hydrique,1,4,3,gauche,114,41,150,5,,160
EL4X_114.EL4X_235 wt b1,B1 - 4 - 3,Couple,Contrainte hydrique,1,4,3,droite,235,45,NA,NA,,NA
EL4X_89.EL4X_482 wt b1,B1 - 4 - 4,Couple,Contrainte hydrique,1,4,4,gauche,89,45,166,5,,125
EL4X_89.EL4X_482 wt b1,B1 - 4 - 4,Couple,Contrainte hydrique,1,4,4,droite,482,53,123,4,,200
EL4X_329.EL4X_376 wt b1,B1 - 4 - 5,Couple,Contrainte hydrique,1,4,5,gauche,329,51,158,4,,240
EL4X_329.EL4X_376 wt b1,B1 - 4 - 5,Couple,Contrainte hydrique,1,4,5,droite,376,50,124,5,,250
EL4X_130.EL4X_130 wt b1,B1 - 4 - 6,Monoculture,Contrainte hydrique,1,4,6,gauche,130,47,143,4,,187
EL4X_130.EL4X_130 wt b1,B1 - 4 - 6,Monoculture,Contrainte hydrique,1,4,6,droite,130,48,138,4,,135
EL4X_165.EL4X_130 wt b1,B1 - 4 - 7,Couple,Contrainte hydrique,1,4,7,gauche,165,42,194,5,,150
EL4X_165.EL4X_130 wt b1,B1 - 4 - 7,Couple,Contrainte hydrique,1,4,7,droite,130,38,161,4,,174
EL4X_412.EL4X_74 wt b1,B1 - 4 - 8,Couple,Contrainte hydrique,1,4,8,gauche,412,54,135,5,,147
EL4X_412.EL4X_74 wt b1,B1 - 4 - 8,Couple,Contrainte hydrique,1,4,8,droite,74,42,180,5,,162
EL4X_329.EL4X_235 wt b1,B1 - 4 - 9,Couple,Contrainte hydrique,1,4,9,gauche,329,47,88,4,,165
EL4X_329.EL4X_235 wt b1,B1 - 4 - 9,Couple,Contrainte hydrique,1,4,9,droite,235,39,132,4,,138
EL4X_395.EL4X_114 wt b1,B1 - 5 - 1,Couple,Contrainte hydrique,1,5,1,gauche,395,52,118,4,,106
EL4X_395.EL4X_114 wt b1,B1 - 5 - 1,Couple,Contrainte hydrique,1,5,1,droite,114,47,115,5,,110
EL4X_130.EL4X_131 wt b1,B1 - 5 - 2,Couple,Contrainte hydrique,1,5,2,gauche,130,22,163,3,,93
EL4X_130.EL4X_131 wt b1,B1 - 5 - 2,Couple,Contrainte hydrique,1,5,2,droite,131,54,190,4,,130
EL4X_376.EL4X_376 wt b1,B1 - 5 - 3,Monoculture,Contrainte hydrique,1,5,3,gauche,376,62,176,4,,200
EL4X_376.EL4X_376 wt b1,B1 - 5 - 3,Monoculture,Contrainte hydrique,1,5,3,droite,376,42,162,4,,150
EL4X_165.EL4X_412 wt b1,B1 - 5 - 4,Couple,Contrainte hydrique,1,5,4,gauche,165,42,133,5,,135
EL4X_165.EL4X_412 wt b1,B1 - 5 - 4,Couple,Contrainte hydrique,1,5,4,droite,412,55,174,5,,181
EL4X_118.EL4X_118 wt b1,B1 - 5 - 5,Monoculture,Contrainte hydrique,1,5,5,gauche,118,43,144,4,,150
EL4X_118.EL4X_118 wt b1,B1 - 5 - 5,Monoculture,Contrainte hydrique,1,5,5,droite,118,36,110,4,,131
EL4X_131.EL4X_131 wt b1,B1 - 5 - 6,Monoculture,Contrainte hydrique,1,5,6,gauche,131,56,174,5,,140
EL4X_131.EL4X_131 wt b1,B1 - 5 - 6,Monoculture,Contrainte hydrique,1,5,6,droite,131,62,180,5,,160
EL4X_130.EL4X_412 wt b1,B1 - 5 - 7,Couple,Contrainte hydrique,1,5,7,gauche,130,28,165,4,,107
EL4X_130.EL4X_412 wt b1,B1 - 5 - 7,Couple,Contrainte hydrique,1,5,7,droite,412,48,121,5,,158
EL4X_348.EL4X_348 wt b1,B1 - 5 - 8,Monoculture,Contrainte hydrique,1,5,8,gauche,348,31,153,5,,180
EL4X_348.EL4X_348 wt b1,B1 - 5 - 8,Monoculture,Contrainte hydrique,1,5,8,droite,348,41,160,5,,214
EL4X_131.EL4X_74 wt b1,B1 - 5 - 9,Couple,Contrainte hydrique,1,5,9,gauche,131,69,195,6,,150
EL4X_131.EL4X_74 wt b1,B1 - 5 - 9,Couple,Contrainte hydrique,1,5,9,droite,74,45,143,4,,210
EL4X_376.EL4X_235 WT b2,B2 - 1 - 1,Couple,Bien irrigue,2,1,1,gauche,376,67,186,5,,167
EL4X_376.EL4X_235 WT b2,B2 - 1 - 1,Couple,Bien irrigue,2,1,1,droite,235,47,127,4,,117
EL4X_114.EL4X_376 WT b2,B2 - 1 - 2,Couple,Bien irrigue,2,1,2,gauche,114,41,136,4,,125
EL4X_114.EL4X_376 WT b2,B2 - 1 - 2,Couple,Bien irrigue,2,1,2,droite,376,49,207,5,,155
EL4X_395.EL4X_114 WT b2,B2 - 1 - 3,Couple,Bien irrigue,2,1,3,gauche,395,52,125,4,,105
EL4X_395.EL4X_114 WT b2,B2 - 1 - 3,Couple,Bien irrigue,2,1,3,droite,114,47,67,3,,100
EL4X_165.EL4X_412 WT b2,B2 - 1 - 4,Couple,Bien irrigue,2,1,4,gauche,165,51,169,5,,197
EL4X_165.EL4X_412 WT b2,B2 - 1 - 4,Couple,Bien irrigue,2,1,4,droite,412,54,114,5,,110
EL4X_329.EL4X_395 WT b2,B2 - 1 - 5,Couple,Bien irrigue,2,1,5,gauche,329,50,NA,NA,,NA
EL4X_329.EL4X_395 WT b2,B2 - 1 - 5,Couple,Bien irrigue,2,1,5,droite,395,52,74,5,,142
EL4X_482.EL4X_348 WT b2,B2 - 1 - 6,Couple,Bien irrigue,2,1,6,gauche,482,49,56,3,,118
EL4X_482.EL4X_348 WT b2,B2 - 1 - 6,Couple,Bien irrigue,2,1,6,droite,348,50,141,4,,212
EL4X_114.EL4X_114 WT b2,B2 - 1 - 7,Monoculture,Bien irrigue,2,1,7,gauche,114,40,140,4,,130
EL4X_114.EL4X_114 WT b2,B2 - 1 - 7,Monoculture,Bien irrigue,2,1,7,droite,114,47,137,5,,125
EL4X_348.EL4X_348 WT b2,B2 - 1 - 8,Monoculture,Bien irrigue,2,1,8,gauche,348,48,102,4,,155
EL4X_348.EL4X_348 WT b2,B2 - 1 - 8,Monoculture,Bien irrigue,2,1,8,droite,348,44,143,5,,146
EL4X_482.EL4X_265 WT b2,B2 - 1 - 9,Couple,Bien irrigue,2,1,9,gauche,482,53,NA,NA,,NA
EL4X_482.EL4X_265 WT b2,B2 - 1 - 9,Couple,Bien irrigue,2,1,9,droite,265,40,83,4,,149
EL4X_89.EL4X_118 WT b2,B2 - 2 - 1,Couple,Bien irrigue,2,2,1,gauche,89,43,150,5,,127
EL4X_89.EL4X_118 WT b2,B2 - 2 - 1,Couple,Bien irrigue,2,2,1,droite,118,40,121,5,,150
EL4X_395.EL4X_395 WT b2,B2 - 2 - 2,Monoculture,Bien irrigue,2,2,2,gauche,395,52,107,4,,111
EL4X_395.EL4X_395 WT b2,B2 - 2 - 2,Monoculture,Bien irrigue,2,2,2,droite,395,51,183,5,,131
EL4X_235.EL4X_235 WT b2,B2 - 2 - 3,Monoculture,Bien irrigue,2,2,3,gauche,235,40,142,5,,106
EL4X_235.EL4X_235 WT b2,B2 - 2 - 3,Monoculture,Bien irrigue,2,2,3,droite,235,38,154,4,,111
EL4X_395.EL4X_376 WT b2,B2 - 2 - 4,Couple,Bien irrigue,2,2,4,gauche,395,45,110,4,,123
EL4X_395.EL4X_376 WT b2,B2 - 2 - 4,Couple,Bien irrigue,2,2,4,droite,376,50,157,5,,159
EL4X_329.EL4X_376 WT b2,B2 - 2 - 5,Couple,Bien irrigue,2,2,5,gauche,329,50,101,5,,192
EL4X_329.EL4X_376 WT b2,B2 - 2 - 5,Couple,Bien irrigue,2,2,5,droite,376,65,187,5,,163
EL4X_130.EL4X_131 WT b2,B2 - 2 - 6,Couple,Bien irrigue,2,2,6,gauche,130,41,150,4,,175
EL4X_130.EL4X_131 WT b2,B2 - 2 - 6,Couple,Bien irrigue,2,2,6,droite,131,55,140,4,,114
EL4X_265.EL4X_348 WT b2,B2 - 2 - 7,Couple,Bien irrigue,2,2,7,gauche,265,48,143,4,,196
EL4X_265.EL4X_348 WT b2,B2 - 2 - 7,Couple,Bien irrigue,2,2,7,droite,348,49,152,4,,213
EL4X_165.EL4X_130 WT b2,B2 - 2 - 8,Couple,Bien irrigue,2,2,8,gauche,165,47,131,4,,125
EL4X_165.EL4X_130 WT b2,B2 - 2 - 8,Couple,Bien irrigue,2,2,8,droite,130,50,124,4,,164
EL4X_118.EL4X_118 WT b2,B2 - 2 - 9,Monoculture,Bien irrigue,2,2,9,gauche,118,34,162,4,,180
EL4X_118.EL4X_118 WT b2,B2 - 2 - 9,Monoculture,Bien irrigue,2,2,9,droite,118,50,129,4,,149
EL4X_118.EL4X_348 WT b2,B2 - 3 - 1,Couple,Bien irrigue,2,3,1,gauche,118,30,116,5,,133
EL4X_118.EL4X_348 WT b2,B2 - 3 - 1,Couple,Bien irrigue,2,3,1,droite,348,42,165,4,,176
EL4X_165.EL4X_131 WT b2,B2 - 3 - 2,Couple,Bien irrigue,2,3,2,gauche,165,48,175,5,,176
EL4X_165.EL4X_131 WT b2,B2 - 3 - 2,Couple,Bien irrigue,2,3,2,droite,131,56,177,5,,117
EL4X_114.EL4X_235 WT b2,B2 - 3 - 3,Couple,Bien irrigue,2,3,3,gauche,114,43,123,5,,117
EL4X_114.EL4X_235 WT b2,B2 - 3 - 3,Couple,Bien irrigue,2,3,3,droite,235,41,163,5,,121
EL4X_130.EL4X_412 WT b2,B2 - 3 - 4,Couple,Bien irrigue,2,3,4,gauche,130,45,82,4,,164
EL4X_130.EL4X_412 WT b2,B2 - 3 - 4,Couple,Bien irrigue,2,3,4,droite,412,47,166,4,,167
EL4X_482.EL4X_118 WT b2,B2 - 3 - 5,Couple,Bien irrigue,2,3,5,gauche,482,46,130,5,,156
EL4X_482.EL4X_118 WT b2,B2 - 3 - 5,Couple,Bien irrigue,2,3,5,droite,118,44,139,4,,148
EL4X_89.EL4X_265 WT b2,B2 - 3 - 6,Couple,Bien irrigue,2,3,6,gauche,89,48,145,5,,201
EL4X_89.EL4X_265 WT b2,B2 - 3 - 6,Couple,Bien irrigue,2,3,6,droite,265,41,165,4,,155
EL4X_412.EL4X_412 WT b2,B2 - 3 - 7,Monoculture,Bien irrigue,2,3,7,gauche,412,63,149,4,,129
EL4X_412.EL4X_412 WT b2,B2 - 3 - 7,Monoculture,Bien irrigue,2,3,7,droite,412,38,150,5,,150
EL4X_131.EL4X_74 WT b2,B2 - 3 - 8,Couple,Bien irrigue,2,3,8,gauche,131,51,180,5,,148
EL4X_131.EL4X_74 WT b2,B2 - 3 - 8,Couple,Bien irrigue,2,3,8,droite,74,49,145,5,,192
EL4X_482.EL4X_482 WT b2,B2 - 3 - 9,Monoculture,Bien irrigue,2,3,9,gauche,482,53,94,4,,139
EL4X_482.EL4X_482 WT b2,B2 - 3 - 9,Monoculture,Bien irrigue,2,3,9,droite,482,46,157,5,,226
EL4X_165.EL4X_165 WT b2,B2 - 4 - 1,Monoculture,Bien irrigue,2,4,1,gauche,165,50,147,4,,162
EL4X_165.EL4X_165 WT b2,B2 - 4 - 1,Monoculture,Bien irrigue,2,4,1,droite,165,51,179,4,,175
EL4X_130.EL4X_74 WT b2,B2 - 4 - 2,Couple,Bien irrigue,2,4,2,gauche,130,61,129,4,,182
EL4X_130.EL4X_74 WT b2,B2 - 4 - 2,Couple,Bien irrigue,2,4,2,droite,74,49,126,4,,213
EL4X_265.EL4X_265 WT b2,B2 - 4 - 3,Monoculture,Bien irrigue,2,4,3,gauche,265,39,95,4,,165
EL4X_265.EL4X_265 WT b2,B2 - 4 - 3,Monoculture,Bien irrigue,2,4,3,droite,265,46,144,4,,176
EL4X_130.EL4X_130 WT b2,B2 - 4 - 4,Monoculture,Bien irrigue,2,4,4,gauche,130,44,166,5,,151
EL4X_130.EL4X_130 WT b2,B2 - 4 - 4,Monoculture,Bien irrigue,2,4,4,droite,130,41,120,4,,189
EL4X_329.EL4X_235 WT b2,B2 - 4 - 5,Couple,Bien irrigue,2,4,5,gauche,329,55,137,5,,138
EL4X_329.EL4X_235 WT b2,B2 - 4 - 5,Couple,Bien irrigue,2,4,5,droite,235,44,102,5,,197
EL4X_74.EL4X_74 WT b2,B2 - 4 - 6,Monoculture,Bien irrigue,2,4,6,gauche,74,48,138,4,,202
EL4X_74.EL4X_74 WT b2,B2 - 4 - 6,Monoculture,Bien irrigue,2,4,6,droite,74,47,132,4,,216
EL4X_329.EL4X_114 WT b2,B2 - 4 - 7,Couple,Bien irrigue,2,4,7,gauche,329,47,86,4,,180
EL4X_329.EL4X_114 WT b2,B2 - 4 - 7,Couple,Bien irrigue,2,4,7,droite,114,40,109,5,,134
EL4X_329.EL4X_329 WT b2,B2 - 4 - 8,Monoculture,Bien irrigue,2,4,8,gauche,329,50,100,5,,190
EL4X_329.EL4X_329 WT b2,B2 - 4 - 8,Monoculture,Bien irrigue,2,4,8,droite,329,53,88,5,,176
EL4X_376.EL4X_376 WT b2,B2 - 4 - 9,Monoculture,Bien irrigue,2,4,9,gauche,376,48,188,5,,146
EL4X_376.EL4X_376 WT b2,B2 - 4 - 9,Monoculture,Bien irrigue,2,4,9,droite,376,48,166,4,,143
EL4X_412.EL4X_74 WT b2,B2 - 5 - 1,Couple,Bien irrigue,2,5,1,gauche,412,56,139,6,,166
EL4X_412.EL4X_74 WT b2,B2 - 5 - 1,Couple,Bien irrigue,2,5,1,droite,74,44,104,4,,221
EL4X_165.EL4X_74 WT b2,B2 - 5 - 2,Couple,Bien irrigue,2,5,2,gauche,165,49,NA,NA,,163
EL4X_165.EL4X_74 WT b2,B2 - 5 - 2,Couple,Bien irrigue,2,5,2,droite,74,41,145,4,,194
EL4X_412.EL4X_131 WT b2,B2 - 5 - 3,Couple,Bien irrigue,2,5,3,gauche,412,56,64,3,,79
EL4X_412.EL4X_131 WT b2,B2 - 5 - 3,Couple,Bien irrigue,2,5,3,droite,131,45,165,5,,135
EL4X_395.EL4X_235 WT b2,B2 - 5 - 4,Couple,Bien irrigue,2,5,4,gauche,395,45,NA,NA,31,NA
EL4X_395.EL4X_235 WT b2,B2 - 5 - 4,Couple,Bien irrigue,2,5,4,droite,235,43,107,3,,130
EL4X_89.EL4X_348 WT b2,B2 - 5 - 5,Couple,Bien irrigue,2,5,5,gauche,89,43,97,4,,139
EL4X_89.EL4X_348 WT b2,B2 - 5 - 5,Couple,Bien irrigue,2,5,5,droite,348,51,140,5,,187
EL4X_265.EL4X_118 WT b2,B2 - 5 - 6,Couple,Bien irrigue,2,5,6,gauche,265,48,125,4,,131
EL4X_265.EL4X_118 WT b2,B2 - 5 - 6,Couple,Bien irrigue,2,5,6,droite,118,NA,139,5,,125
EL4X_131.EL4X_131 WT b2,B2 - 5 - 7,Monoculture,Bien irrigue,2,5,7,gauche,131,32,183,5,,150
EL4X_131.EL4X_131 WT b2,B2 - 5 - 7,Monoculture,Bien irrigue,2,5,7,droite,131,60,174,4,,154
EL4X_89.EL4X_482 WT b2,B2 - 5 - 8,Couple,Bien irrigue,2,5,8,gauche,89,46,151,4,,181
EL4X_89.EL4X_482 WT b2,B2 - 5 - 8,Couple,Bien irrigue,2,5,8,droite,482,52,169,5,,242
EL4X_89.EL4X_89 WT b2,B2 - 5 - 9,Monoculture,Bien irrigue,2,5,9,gauche,89,41,157,5,,152
EL4X_89.EL4X_89 WT b2,B2 - 5 - 9,Monoculture,Bien irrigue,2,5,9,droite,89,42,84,5,,NA
EL4X_131.EL4X_131 wt b3,B3 - 1 - 1,Monoculture,Contraite hydrique,3,1,1,gauche,131,54,161,5,,128
EL4X_131.EL4X_131 wt b3,B3 - 1 - 1,Monoculture,Contraite hydrique,3,1,1,droite,131,47,148,4,,118
EL4X_412.EL4X_412 wt b3,B3 - 1 - 2,Monoculture,Contraite hydrique,3,1,2,gauche,412,49,121,5,,134
EL4X_412.EL4X_412 wt b3,B3 - 1 - 2,Monoculture,Contraite hydrique,3,1,2,droite,412,63,109,4,,152
EL4X_329.EL4X_376 wt b3,B3 - 1 - 3,Couple,Contraite hydrique,3,1,3,gauche,329,50,84,4,,171
EL4X_329.EL4X_376 wt b3,B3 - 1 - 3,Couple,Contraite hydrique,3,1,3,droite,376,55,145,3,,161
EL4X_89.EL4X_118 wt b3,B3 - 1 - 4,Couple,Contraite hydrique,3,1,4,gauche,89,48,114,5,,8
EL4X_89.EL4X_118 wt b3,B3 - 1 - 4,Couple,Contraite hydrique,3,1,4,droite,118,32,141,4,,126
EL4X_329.EL4X_114 wt b3,B3 - 1 - 5,Couple,Contraite hydrique,3,1,5,gauche,329,57,111,5,,226
EL4X_329.EL4X_114 wt b3,B3 - 1 - 5,Couple,Contraite hydrique,3,1,5,droite,114,41,141,4,,141
EL4X_74.EL4X_74 wt b3,B3 - 1 - 6,Monoculture,Contraite hydrique,3,1,6,gauche,74,38,107,5,,225
EL4X_74.EL4X_74 wt b3,B3 - 1 - 6,Monoculture,Contraite hydrique,3,1,6,droite,74,45,89,4,,210
EL4X_329.EL4X_395 wt b3,B3 - 1 - 7,Couple,Contraite hydrique,3,1,7,gauche,329,58,104,4,,211
EL4X_329.EL4X_395 wt b3,B3 - 1 - 7,Couple,Contraite hydrique,3,1,7,droite,395,56,NA,NA,81,NA
EL4X_265.EL4X_265 wt b3,B3 - 1 - 8,Monoculture,Contraite hydrique,3,1,8,gauche,265,48,158,4,,171
EL4X_265.EL4X_265 wt b3,B3 - 1 - 8,Monoculture,Contraite hydrique,3,1,8,droite,265,43,128,4,,168
EL4X_165.EL4X_130 wt b3,B3 - 1 - 9,Couple,Contraite hydrique,3,1,9,gauche,165,49,152,4,,170
EL4X_165.EL4X_130 wt b3,B3 - 1 - 9,Couple,Contraite hydrique,3,1,9,droite,130,54,156,4,,176
EL4X_131.EL4X_74 wt b3,B3 - 2 - 1,Couple,Contraite hydrique,3,2,1,gauche,131,63,158,4,,114
EL4X_131.EL4X_74 wt b3,B3 - 2 - 1,Couple,Contraite hydrique,3,2,1,droite,74,41,126,5,,207
EL4X_395.EL4X_395 wt b3,B3 - 2 - 2,Monoculture,Contraite hydrique,3,2,2,gauche,395,47,164,5,,134
EL4X_395.EL4X_395 wt b3,B3 - 2 - 2,Monoculture,Contraite hydrique,3,2,2,droite,395,52,93,2,,99
EL4X_89.EL4X_89 wt b3,B3 - 2 - 3,Monoculture,Contraite hydrique,3,2,3,gauche,89,46,66,2,,71
EL4X_89.EL4X_89 wt b3,B3 - 2 - 3,Monoculture,Contraite hydrique,3,2,3,droite,89,43,139,5,,182
EL4X_482.EL4X_118 wt b3,B3 - 2 - 4,Couple,Contraite hydrique,3,2,4,gauche,482,53,108,3,,168
EL4X_482.EL4X_118 wt b3,B3 - 2 - 4,Couple,Contraite hydrique,3,2,4,droite,118,29,106,5,,164
EL4X_482.EL4X_348 wt b3,B3 - 2 - 5,Couple,Contraite hydrique,3,2,5,gauche,482,43,NA,NA,,NA
EL4X_482.EL4X_348 wt b3,B3 - 2 - 5,Couple,Contraite hydrique,3,2,5,droite,348,48,149,5,,191
EL4X_130.EL4X_412 wt b3,B3 - 2 - 6,Couple,Contraite hydrique,3,2,6,gauche,130,48,156,5,,172
EL4X_130.EL4X_412 wt b3,B3 - 2 - 6,Couple,Contraite hydrique,3,2,6,droite,412,50,41,4,,148
EL4X_89.EL4X_348 wt b3,B3 - 2 - 7,Couple,Contraite hydrique,3,2,7,gauche,89,46,NA,NA,192,NA
EL4X_89.EL4X_348 wt b3,B3 - 2 - 7,Couple,Contraite hydrique,3,2,7,droite,348,47,178,5,,200
EL4X_329.EL4X_235 wt b3,B3 - 2 - 8,Couple,Contraite hydrique,3,2,8,gauche,329,57,88,4,,148
EL4X_329.EL4X_235 wt b3,B3 - 2 - 8,Couple,Contraite hydrique,3,2,8,droite,235,45,64,3,,103
