Couple,Position,Monoculture_Couple,Condition_hydrique,Bloc,Colonne,Ligne,Position_pots,plante_genotype,poids_graine,Longueur_feuille_1,Largueur_feuille_1,taille_coleotile_feuille_1,taille_coleotile_feuille_2
EL4X_265.EL4X_265 wt b1,B1 - 1 - 1,Monoculture,Contrainte hydrique,1,1,1,gauche,265,40,0,0,82,0
EL4X_265.EL4X_265 wt b1,B1 - 1 - 1,Monoculture,Contrainte hydrique,1,1,1,droite,265,48,0,0,90,0
EL4X_118.EL4X_348 wt b1,B1 - 1 - 2,Couple,Contrainte hydrique,1,1,2,gauche,118,26,0,0,94,0
EL4X_118.EL4X_348 wt b1,B1 - 1 - 2,Couple,Contrainte hydrique,1,1,2,droite,348,46,0,0,115,0
EL4X_412.EL4X_412 wt b1,B1 - 1 - 3,Couple,Contrainte hydrique,1,1,3,gauche,412,47,0,0,95,0
EL4X_412.EL4X_412 wt b1,B1 - 1 - 3,Couple,Contrainte hydrique,1,1,3,droite,412,45,0,0,30,0
EL4X_265.EL4X_118 wt b1,B1 - 1 - 4,Couple,Contrainte hydrique,1,1,4,gauche,265,47,0,0,81,0
EL4X_265.EL4X_118 wt b1,B1 - 1 - 4,Couple,Contrainte hydrique,1,1,4,droite,118,42,0,0,115,0
EL4X_329.EL4X_329 wt b1,B1 - 1 - 5,Monoculture,Contrainte hydrique,1,1,5,gauche,329,45,0,0,83,0
EL4X_329.EL4X_329 wt b1,B1 - 1 - 5,Monoculture,Contrainte hydrique,1,1,5,droite,329,55,0,0,75,0
EL4X_329.EL4X_395 wt b1,B1 - 1 - 6,Couple,Contrainte hydrique,1,1,6,gauche,329,51,0,0,84,0
EL4X_329.EL4X_395 wt b1,B1 - 1 - 6,Couple,Contrainte hydrique,1,1,6,droite,395,50,0,0,55,0
EL4X_265.EL4X_348 wt b1,B1 - 1 - 7,Couple,Contrainte hydrique,1,1,7,gauche,265,45,0,0,63,0
EL4X_265.EL4X_348 wt b1,B1 - 1 - 7,Couple,Contrainte hydrique,1,1,7,droite,348,51,0,0,67,0
EL4X_395.EL4X_395 wt b1,B1 - 1 - 8,Monoculture,Contrainte hydrique,1,1,8,gauche,395,56,0,0,52,0
EL4X_395.EL4X_395 wt b1,B1 - 1 - 8,Monoculture,Contrainte hydrique,1,1,8,droite,395,50,0,0,50,0
EL4X_165.EL4X_131 wt b1,B1 - 1 - 9,Couple,Contrainte hydrique,1,1,9,gauche,165,56,0,0,33,0
EL4X_165.EL4X_131 wt b1,B1 - 1 - 9,Couple,Contrainte hydrique,1,1,9,droite,131,45,0,0,65,0
EL4X_89.EL4X_348 wt b1,B1 - 2 - 1,Couple,Contrainte hydrique,1,2,1,gauche,89,48,0,0,NA,0
EL4X_89.EL4X_348 wt b1,B1 - 2 - 1,Couple,Contrainte hydrique,1,2,1,droite,348,54,0,0,82,0
EL4X_482.EL4X_265 wt b1,B1 - 2 - 2,Couple,Contrainte hydrique,1,2,2,gauche,482,51,0,0,125,0
EL4X_482.EL4X_265 wt b1,B1 - 2 - 2,Couple,Contrainte hydrique,1,2,2,droite,265,38,0,0,75,0
EL4X_114.EL4X_376 wt b1,B1 - 2 - 3,Couple,Contrainte hydrique,1,2,3,gauche,114,44,0,0,170,0
EL4X_114.EL4X_376 wt b1,B1 - 2 - 3,Couple,Contrainte hydrique,1,2,3,droite,376,51,0,0,15,0
EL4X_89.EL4X_265 wt b1,B1 - 2 - 4,Couple,Contrainte hydrique,1,2,4,gauche,89,46,0,0,55,0
EL4X_89.EL4X_265 wt b1,B1 - 2 - 4,Couple,Contrainte hydrique,1,2,4,droite,265,46,0,0,86,0
EL4X_114.EL4X_114 wt b1,B1 - 2 - 5,Monoculture,Contrainte hydrique,1,2,5,gauche,114,47,0,0,47,0
EL4X_114.EL4X_114 wt b1,B1 - 2 - 5,Monoculture,Contrainte hydrique,1,2,5,droite,114,47,0,0,80,0
